"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"SYPL1"	""	"SLC30A4"	""	"SIGLEC7"	""	""	""	"TRAT1"	"SSTR3"	""	""	""	""	""	""	""	""
"TACR3"	""	"SLC6A12"	""	"SIGLEC9"	""	""	""	"UBASH3A"	"STX4"	""	""	""	""	""	""	""	""
"TCL1A"	""	"SNX11"	""	"SLAMF8"	""	""	""	"ZAP70"	"TBX21"	""	""	""	""	""	""	""	""
"THPO"	""	"SOCS3"	""	"SLC1A2"	""	""	""	""	"TMEM184B"	""	""	""	""	""	""	""	""
"TLR7"	""	"SPIB"	""	"SLC39A1"	""	""	""	""	"TNFSF8"	""	""	""	""	""	""	""	""
"TLX2"	""	"SPINT2"	""	"SLC6A12"	""	""	""	""	"TNKS2"	""	""	""	""	""	""	""	""
"TNFRSF12A"	""	"STAB1"	""	"SLC6A7"	""	""	""	""	"TRAF3IP3"	""	""	""	""	""	""	""	""
"TNFRSF13B"	""	"SYT17"	""	"SLC9A6"	""	""	""	""	"TRMU"	""	""	""	""	""	""	""	""
"TNFRSF17"	""	"TACR1"	""	"SNX1"	""	""	""	""	"TRNAU1AP"	""	""	""	""	""	""	""	""
"TRAF3"	""	"TACSTD2"	""	"SNX2"	""	""	""	""	"TSC22D3"	""	""	""	""	""	""	""	""
"TREML2"	""	"TFEC"	""	"STAB1"	""	""	""	""	"TTC22"	""	""	""	""	""	""	""	""
"TRPM3"	""	"TLR7"	""	"STAM2"	""	""	""	""	"USP1"	""	""	""	""	""	""	""	""
"TSPAN13"	""	"TMX1"	""	"STX12"	""	""	""	""	"VPS33A"	""	""	""	""	""	""	""	""
"UBE2G1"	""	"TNFAIP6"	""	"STX4"	""	""	""	""	"WAS"	""	""	""	""	""	""	""	""
"ULK4"	""	"TNFRSF4"	""	"TCEB1"	""	""	""	""	"XCL1"	""	""	""	""	""	""	""	""
"UNC5C"	""	"TOR1B"	""	"TFEC"	""	""	""	""	"ZAP70"	""	""	""	""	""	""	""	""
"WNT2"	""	"TREM2"	""	"TFRC"	""	""	""	""	"ZEB1"	""	""	""	""	""	""	""	""
"ZBTB32"	""	"TSPAN13"	""	"TIE1"	""	""	""	""	"ZFP36L2"	""	""	""	""	""	""	""	""
"ZIC3"	""	"UBE2Z"	""	"TM2D1"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"VASH1"	""	"TMED5"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"XIAP"	""	"TMEM9B"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TMX1"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TNFRSF12A"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TNFSF14"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TNPO1"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TRAF3"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TREM2"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TYROBP"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"UNC50"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"VPS33A"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"VSIG4"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"ZMPSTE24"	""	""	""	""	""	""	""	""	""	""	""	""	""
