"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"
"MFN1"	""	"PLD2"	"SETD1B"	"CXCL9"	"PTGDR"	"DNAJB14"	"USP15"	"MGAT2"	"MTRF1"	"IL12RB1"	""	"IL10"	"MTMR14"	"IGF2BP3"	"HSPB6"	"FNDC3A"	"GRM4"
"MGAT5"	""	"PRRG2"	"SIGLEC8"	"CYBA"	"PTGER3"	"DNAJC2"	"WDFY3"	"MKL1"	"MYOM1"	"IL13"	""	"IL12B"	"MYO15A"	"IPO7"	"HSPB7"	"FOLR2"	"GRWD1"
"MIOS"	""	"PTGES2"	"SLC19A1"	"CYP19A1"	"RAD23B"	"DR1"	"WWP2"	"MORC2"	"NAA16"	"IL18RAP"	""	"IL17RA"	"MYO9B"	"ITGB1BP1"	"HTR2A"	"FOLR3"	"GUCA1A"
"MMP17"	""	"PTGIR"	"SRRM2"	"DBI"	"REM1"	"FASLG"	"ZDHHC18"	"MSL3"	"NDFIP1"	"IL26"	""	"ITGAE"	"MYOZ1"	"KANK3"	"HTR2B"	"FPR2"	"HAND2"
"MRM1"	""	"RAB8A"	"STATH"	"DERA"	"RENBP"	"FBXW4"	"AQP9"	"MTO1"	"NDUFS2"	"IL2RA"	""	"ITGB1BP1"	"NAGPA"	"KIF20A"	"ICMT"	"GABARAP"	"HDLBP"
"MYOT"	""	"RNF2"	"SYCP1"	"DNAJC13"	"RGS11"	"FIP1L1"	"BCL2A1"	"NCK2"	"NFKB1"	"IL2RB"	""	"KCNJ1"	"NCAPH"	"KLHL9"	"IDUA"	"GALNT3"	"HEYL"
"NSUN5"	""	"RRP1B"	"TACSTD2"	"ECHS1"	"RGS13"	"GGPS1"	"C5AR1"	"NFATC2IP"	"NKRF"	"IL4"	""	"KCNJ5"	"NCKAP1L"	"KRT19"	"IMPACT"	"GGA1"	"HIST1H2BB"
"NUP160"	""	"SAMSN1"	"TNFSF11"	"EFR3A"	"RNF103"	"GIPR"	"FAM65B"	"NFE2L2"	"NPAT"	"IL5"	""	"KCNK13"	"NDUFB1"	"LRRC59"	"IPO5"	"GIT2"	"HOOK2"
"P2RY10"	""	"SIGLEC1"	"TRIM48"	"ELOVL1"	"RXRB"	"GNA13"	"HCK"	"NOL9"	"NPRL2"	"INPP4A"	""	"KIFC3"	"NFS1"	"LYL1"	"ISLR"	"GNA13"	"HSF4"
"PGR"	""	"SLAMF1"	"TRPM6"	"EMILIN1"	"SERINC3"	"GNLY"	"LST1"	"NR2C1"	"PCNT"	"ITGAL"	""	"LAIR1"	"NOP10"	"LYPLA1"	"ITIH3"	"GNMT"	"HSP90B1"
"PHKB"	""	"SLAMF8"	"ZNF197"	"ERP29"	"SIGLEC7"	"GOLGA4"	"MNDA"	"NUDCD3"	"PFN2"	"ITGB7"	""	"LAMP1"	"NPR1"	"LYVE1"	"JAK3"	"GPR162"	"HSPA6"
"PIKFYVE"	""	"SLC30A4"	"BCL2A1"	"FCER1G"	"SIGLEC8"	"GPATCH8"	"NCF2"	"OBSCN"	"PLCG1"	"KIF11"	""	"LILRB1"	"OS9"	"MAPK12"	"KDELR1"	"GPR183"	"IDE"
"PLA2G2D"	""	"SLCO5A1"	"CCL4"	"FEZ2"	"SNRNP70"	"GRIK4"	"SELL"	"OFD1"	"PLXDC1"	"KIF14"	""	"LILRB4"	"OSBPL11"	"METTL3"	"KDELR2"	"GRPEL1"	"IFT52"
"POLR3K"	""	"SNX11"	"CD69"	"FGR"	"SNUPN"	"GZMH"	"VNN2"	"PABPC3"	"POLR3E"	"KIF22"	""	"LIMD2"	"P2RX7"	"MNAT1"	"KIAA1614"	"H2AFY"	"IGF1"
"POU2F1"	""	"SPINT2"	"EMR3"	"FKBP15"	"SNX5"	"GZMM"	""	"PHF3"	"POP5"	"KIF2A"	""	"LONP1"	"PABPC4"	"MRPL17"	"KIF26B"	"HADHA"	"IMP4"
"POU2F2"	""	"STAB1"	"FOSB"	"FOLR2"	"SOS2"	"HELZ"	""	"PLCG1"	"PRL"	"KIF2C"	""	"LONRF3"	"PDCD6IP"	"MTCH1"	"KRT19"	"HCK"	"IRF4"
"PRDM2"	""	"SUZ12"	"GPR183"	"FPR3"	"SPAG8"	"HIPK1"	""	"PLCL1"	"PRMT2"	"KLHL7"	""	"MAPK13"	"PDE1B"	"MTG1"	"LAPTM4A"	"HIC1"	"IRGC"
"PRDM4"	""	"TBC1D13"	"GPR65"	"FTL"	"STAM"	"HIST1H3A"	""	"PLXDC1"	"PRPF4B"	"KLRG1"	""	"MARCO"	"PEX19"	"MTMR2"	"LGALS1"	"HIF1A"	"ISCU"
"PRKCB"	""	"TDRD7"	"LRMP"	"G6PC3"	"STAP1"	"HNRNPL"	""	"PNMA3"	"PSD"	"LAG3"	""	"MFSD7"	"PICK1"	"MYL12B"	"LMOD1"	"HIPK1"	"ITGA8"
"PWP1"	""	"TFEC"	"NCF2"	"GLB1"	"SYPL1"	"IFNG"	""	"POLR3E"	"PTGDR"	"LAIR2"	""	"MMP19"	"PLEKHM2"	"MYL6"	"LRRC42"	"HK3"	"KCNN3"
"RECQL5"	""	"TMEM131"	"RGS1"	"GLRX2"	"TADA2A"	"IL18RAP"	""	"POU6F1"	"PTPN4"	"LCP2"	""	"MRPL12"	"POGK"	"N4BP3"	"LSM6"	"HNRNPU"	"KCNQ4"
"RIC3"	""	"TMSB10"	"SAMSN1"	"GRB2"	"TEC"	"KPNB1"	""	"PPM1B"	"PURA"	"LIM2"	""	"MRPL40"	"PQLC2"	"NCBP2"	"LTBR"	"HRH2"	"KDELR2"
"RNGTT"	""	"TNFRSF4"	"ZNF165"	"GSTO1"	"THRAP3"	"LAG3"	""	"PPP2CA"	"RAPGEF6"	"LTA"	""	"MRS2"	"RIN2"	"NEDD8"	"LTC4S"	"HSPA6"	"KIAA0125"
"RPS11"	""	"TRAF1"	""	"GUF1"	"TIPRL"	"LEMD3"	""	"PPWD1"	"RASA2"	"MELK"	""	"MS4A4A"	"S100A6"	"NETO2"	"MAGEF1"	"HUS1"	"KLC2"
"RPS16"	""	"TREM2"	""	"HADHB"	"TRIM32"	"LIM2"	""	"PRMT2"	"RBL2"	"MFSD5"	""	"MSR1"	"SCAMP2"	"NNAT"	"MAP4K5"	"IL10RA"	"KLF15"
"RRAS2"	""	"TXN"	""	"HAMP"	"TTC17"	"LTA"	""	"PRPF38B"	"RBM34"	"MKI67"	""	"MT2A"	"SDCBP"	"NOTCH4"	"MARS"	"IL17RA"	"KNTC1"
"S1PR2"	""	"UBE2Z"	""	"HCCS"	"U2AF2"	"MAP3K7"	""	"PSD"	"RING1"	"MMP25"	""	"MYBPH"	"SDS"	"NOVA2"	"MASP1"	"IMPDH1"	"KRT10"
"S1PR4"	""	"VAV2"	""	"HEXA"	"UPF2"	"MAPK1"	""	"RAPGEF6"	"RNF113A"	"MNAT1"	""	"MYH11"	"SLAMF8"	"NPLOC4"	"MBTPS2"	"IQGAP1"	"LAX1"
"SEC62"	""	"ABCA6"	""	"HEXB"	"USP10"	"MED1"	""	"RBL2"	"RPL37A"	"MRPS15"	""	"MYO7A"	"SLC25A24"	"PCDH12"	"MFSD5"	"IQSEC2"	"LBX1"
"SIPA1L3"	""	"ABI1"	""	"HIGD2A"	"USP48"	"MGAT2"	""	"RBM19"	"RWDD3"	"MSH3"	""	"MYOF"	"SLC25A46"	"PCGF3"	"MGMT"	"JMJD1C"	"LEFTY2"
"SLC13A2"	""	"ABTB2"	""	"HK3"	"WDR46"	"MLH1"	""	"RBM25"	"S100B"	"MTDH"	""	"MYOZ1"	"SLC31A1"	"PDE3A"	"MGST3"	"JMJD6"	"LMAN1L"
"SLC24A1"	""	"ACOT9"	""	"HMGCL"	"ZBTB1"	"NCR3"	""	"RIC3"	"SDAD1"	"NCAPD3"	""	"NARS"	"SLC38A7"	"PDIA6"	"MIF"	"KCNC3"	"LMAN2"
"SLC30A4"	""	"ADPGK"	""	"HS3ST2"	"ZBTB7A"	"NEK1"	""	"RSRC2"	"SDCCAG3"	"NCDN"	""	"NCAPH"	"SLC39A1"	"PIK3C2A"	"MKRN2"	"KCNMB1"	"LTB4R2"
"SMC6"	""	"ADPRH"	""	"HSD17B12"	"ZKSCAN3"	"NFE2L2"	""	"RXRG"	"SFPQ"	"NCR3"	""	"NDUFAF1"	"SLC6A12"	"PITRM1"	"MMP17"	"KDM6B"	"MAGEF1"
"SNX2"	""	"ANKFY1"	""	"HTT"	"ZMYM1"	"NMUR1"	""	"SACM1L"	"SHANK1"	"NEK2"	""	"NDUFS2"	"SLC6A7"	"PLS3"	"MMP19"	"KIAA1033"	"MANF"
"SP140"	""	"ANXA5"	""	"IBTK"	"ZMYM4"	"OSBPL7"	""	"SFPQ"	"SIRPG"	"NFKBIB"	""	"NECAP2"	"SLC9A6"	"PLVAP"	"MOSPD3"	"KLHL18"	"MAPK8IP3"
"STAG3"	""	"ARF3"	""	"IGSF6"	"ZNF212"	"PJA2"	""	"SGSM2"	"SLC1A7"	"NKG7"	""	"NRBP1"	"SMG5"	"PNP"	"MPHOSPH10"	"KSR1"	"MARS"
"STAP1"	""	"ARFRP1"	""	"IL17RA"	"ZNF264"	"PPP2CA"	""	"SIRPG"	"SSTR3"	"NMT1"	""	"OGFR"	"SNAPC2"	"PPM1F"	"MPZL1"	"LILRA1"	"MAST1"
"SYPL1"	""	"ARHGEF11"	""	"ITGAX"	"ZNF426"	"PRDM2"	""	"SIT1"	"TMEM41B"	"NUSAP1"	""	"OTUD4"	"SNX1"	"PPP2R2A"	"MRPL12"	"LILRA2"	"MATN4"
"TCL1B"	""	"ARPC4"	""	"ITGB1BP1"	"ZNF471"	"PRDX6"	""	"SLTM"	"TOMM7"	"PBK"	""	"P2RX7"	"SNX2"	"PRKD2"	"MTHFD2"	"LILRA5"	"MBTPS1"
"TCL6"	""	"ATP1B3"	""	"KCMF1"	"ZNF549"	"PRKAG1"	""	"SNPH"	"TRAF3IP3"	"PDE4A"	""	"PDCL"	"SNX3"	"PRPF19"	"MYH1"	"LILRB1"	"MCTS1"
"TERT"	""	"AZIN1"	""	"KCNJ1"	"CCL4"	"PTPN4"	""	"SNX19"	"TSPAN32"	"PDE6D"	""	"PHLDB1"	"SNX5"	"PSMB7"	"MYH2"	"LILRB2"	"MGAT2"
"TLR7"	""	"BCKDK"	""	"KCNJ5"	"CXCL3"	"RAB14"	""	"SON"	"TTN"	"PEX2"	""	"PKD2L1"	"SPG21"	"PSMC5"	"MYL12B"	"LILRB3"	"MIA3"
"TNFRSF13B"	""	"BLVRA"	""	"KCNMB1"	"IL1B"	"RBM25"	""	"SPEG"	"UBE2Q1"	"PFN1"	""	"PLEKHB2"	"STX18"	"PSMD1"	"MYOF"	"LRRFIP1"	"MIS12"
"TRAF3"	""	"C1orf27"	""	"KCTD5"	"MMP9"	"RBM39"	""	"SSTR3"	"UBQLN2"	"PIAS4"	""	"PQLC2"	"STX4"	"PSMD10"	"NDST2"	"LST1"	"MRPS31"
"TROVE2"	""	"C3AR1"	""	"KIFC3"	"SAMSN1"	"RGS9"	""	"SUPV3L1"	"USP47"	"PLK4"	""	"PRDX1"	"TAF10"	"PSMD2"	"NFATC4"	"LTBR"	"MTDH"
"UBE2G1"	""	"C5orf15"	""	"KLHL12"	""	"RSRC2"	""	"THAP1"	"UTP20"	"POP4"	""	"PTGIR"	"TBC1D9B"	"PTTG1IP"	"NFE2L2"	"LY86"	"MYH13"
"UTP6"	""	"CASP5"	""	"LAIR1"	""	"SACM1L"	""	"THUMPD1"	"WDR82"	"PPID"	""	"PTPRA"	"TFEC"	"PTTG2"	"NGRN"	"LYL1"	"MYL2"
"VPREB3"	""	"CCL4"	""	"LAMP1"	""	"SBF1"	""	"TMEM123"	"YLPM1"	"PPP1CA"	""	"RAB3IL1"	"TMED5"	"PWP1"	"NPTN"	"MAN2C1"	"MYL7"
"WDR11"	""	"CCL7"	""	"LDHAL6B"	""	"SEPT7"	""	"TNFRSF4"	"ZBTB11"	"PRF1"	""	"RELA"	"TMEM184C"	"RALA"	"OCRL"	"MAP2K1"	"NDOR1"
"ZNF154"	""	"CCR5"	""	"LILRB4"	""	"SF3B4"	""	"TNFSF8"	"ZC3HAV1"	"PSMA1"	""	"RNH1"	"TMEM70"	"RANGAP1"	"P4HB"	"MAP3K11"	"NEUROG1"
"ZNF202"	""	"CD300C"	""	"LILRB5"	""	"SON"	""	"TOE1"	"ZNF154"	"PSMA3"	""	"RRP1"	"TMEM9B"	"RARS"	"PAPPA2"	"MAP3K2"	"NGLY1"
"ZNF208"	""	"CHFR"	""	"LONP1"	""	"STAG2"	""	"TOMM20"	"ZNF200"	"PSMB2"	""	"S100A11"	"TNFSF14"	"RASIP1"	"PCDHGA11"	"MAP3K3"	"NOS2"
"ZNF37A"	""	"CHMP5"	""	"LONRF3"	""	"STX8"	""	"TOR1AIP1"	"ZNF611"	"PSMC4"	""	"S1PR2"	"TPP1"	"RCN2"	"PDE4A"	"MAPK14"	"NPAS1"
"ZNF638"	""	"CLIP1"	""	"LY86"	""	"SUPV3L1"	""	"TPP2"	"ZNF639"	"PSMD13"	""	"SCAMP2"	"TREM2"	"RELA"	"PFDN5"	"MAPK6"	"NPPA"
"ZNF688"	""	"CMKLR1"	""	"M6PR"	""	"TBCC"	""	"TPT1"	"ABCD2"	"PSMD14"	""	"SDS"	"TSPO"	"RHOC"	"PGK1"	"MARCO"	"NPPC"
"ZNF701"	""	"CXCL13"	""	"MAPK13"	""	"THAP1"	""	"TRAF1"	"ADAT1"	"PSMD4"	""	"SIGLEC1"	"UBXN6"	"RPS14"	"PIK3R2"	"MARK3"	"NTRK1"
"ZZZ3"	""	"CXCL9"	""	"MAPKAP1"	""	"TKTL1"	""	"TRAF3IP3"	"ADCYAP1R1"	"PSMD7"	""	"SIGLEC7"	"UCP3"	"S100A6"	"PODNL1"	"MBOAT7"	"OGFOD2"
"ABI1"	""	"CYTH4"	""	"MDH1"	""	"TNFSF11"	""	"TRIM46"	"AKAP3"	"PSTPIP1"	""	"SIGLEC9"	"UGP2"	"SAE1"	"POLR2E"	"MED13L"	"P2RY4"
"ADAMDEC1"	""	"DENND1A"	""	"MFSD7"	""	"TSPYL1"	""	"TRMT2B"	"ALK"	"PTP4A2"	""	"SLAMF8"	"UNC50"	"SCARF1"	"POMGNT1"	"MEFV"	"PABPC4"
"CD80"	""	"DNAJA1"	""	"MGST3"	""	"TSTD2"	""	"TSPYL1"	"ATF7IP"	"PTPN4"	""	"SLC11A1"	"USF2"	"SELE"	"PPIB"	"METTL9"	"PCDHA5"
"CPSF4"	""	"DNPEP"	""	"MKL2"	""	"UBE2Q1"	""	"TTN"	"ATXN7"	"PTPN7"	""	"SLC1A2"	"VPS35"	"SEMA6B"	"PRDX4"	"MIOS"	"PDE6A"
"EPS15"	""	"DOT1L"	""	"MLX"	""	"WBP11"	""	"TUBGCP5"	"BMPR1A"	"PTPN9"	""	"SLC25A24"	"VPS53"	"SEMA6C"	"PRDX6"	"MMP17"	"PDIA2"
"HLA-DQB2"	""	"DYNLT1"	""	"MMP19"	""	"WDR45"	""	"TUG1"	"C21orf2"	"PUF60"	""	"SLC31A1"	"VSIG4"	"SH3GL1"	"PRKG1"	"MNDA"	"PDIA6"
"KHDRBS2"	""	"EIF5"	""	"MMP8"	""	"YAF2"	""	"UBA3"	"C21orf59"	"PVRIG"	""	"SLC6A12"	"VTI1B"	"SLC16A1"	"PRKG2"	"MNT"	"PHOX2A"
"NARFL"	""	"ELL"	""	"MRPL40"	""	"ZBTB1"	""	"UBASH3A"	"CD48"	"RACGAP1"	""	"SNX3"	"WDFY3"	"SNTB2"	"PRPH2"	"MPHOSPH6"	"PICK1"
"NDUFA9"	""	"ENO1"	""	"MRS2"	""	"ZBTB39"	""	"UBP1"	"CDC14A"	"RAD21"	""	"SPG21"	"XPNPEP2"	"SOX18"	"PTGIR"	"MS4A4A"	"PNOC"
"NGLY1"	""	"EXOC5"	""	"MS4A6A"	""	"ZCCHC11"	""	"UBQLN2"	"CGRRF1"	"RAD50"	""	"SPR"	"ZC3H3"	"SPATS2"	"RAB11FIP2"	"MS4A6A"	"POMC"
"PRDM10"	""	"FAM175B"	""	"MTHFR"	""	"ZMYND11"	""	"USP33"	"CHST5"	"RALY"	""	"SRC"	"ZCCHC4"	"SPTBN5"	"RAB3GAP1"	"MTF1"	"POU3F3"
"PTPN6"	""	"FCER1G"	""	"MTMR14"	""	"ZNF264"	""	"USP36"	"CYP20A1"	"RANBP3"	""	"STIP1"	"ZNF219"	"SSBP1"	"RAD23B"	"MTHFR"	"PPIB"
"RAD17"	""	"GMFB"	""	"MUL1"	""	"ZNF426"	""	"USP47"	"DCTN6"	"RB1"	""	"STX12"	"ACP5"	"STAB1"	"RASA2"	"MTMR14"	"PPIL2"
"RAPGEF1"	""	"GNG5"	""	"MYOZ1"	""	"APOBEC3G"	""	"WBP11"	"DUSP11"	"RBL1"	""	"STX4"	"AIF1"	"STK25"	"RASL12"	"MTMR3"	"PRDM14"
"SCRN1"	""	"GPN2"	""	"NARS"	""	"CST7"	""	"ZAP70"	"DYNLT1"	"RC3H2"	""	"TBC1D16"	"CCL13"	"STRAP"	"RCN2"	"MYO1F"	"PRDX4"
"SEC24A"	""	"GPR107"	""	"NCAPH"	""	"LTB"	""	"ZBTB11"	"ELP3"	"RGS9"	""	"TCEB1"	"CCL18"	"TACSTD2"	"RNASEH1"	"NCF4"	"PREB"
"SLC12A3"	""	"GPR132"	""	"NDUFA8"	""	"TRDC"	""	"ZC3HAV1"	"ESR2"	"RNF167"	""	"TDRD7"	"CCL23"	"TAOK2"	"RNF14"	"NCOA4"	"PRM1"
"SNED1"	""	"GRB2"	""	"NDUFAF1"	""	"CD2"	""	"ZCCHC11"	"GIMAP6"	"RNF6"	""	"TFEC"	"CD4"	"TARBP2"	"RNF4"	"NDST2"	"PRX"
"SUB1"	""	"H6PD"	""	"NDUFB3"	""	"KLRB1"	""	"ZFC3H1"	"GNLY"	"RPA1"	""	"TFRC"	"CLEC10A"	"TIMM17A"	"RNF41"	"NEK4"	"PTGER1"
"TAF6"	""	"HAMP"	""	"NDUFB6"	""	"KLRF1"	""	"ZNF335"	"GPR171"	"RRM1"	""	"TIE1"	"CLEC4A"	"TJP1"	"RNH1"	"NKIRAS2"	"PTPRS"
"TRRAP"	""	"HCK"	""	"NDUFS3"	""	""	""	"ZNF611"	"GZMA"	"RRM2"	""	"TMEM33"	"HCK"	"TMED9"	"ROM1"	"NPLOC4"	"R3HCC1"
"UBE2I"	""	"HRH2"	""	"NDUFS6"	""	""	""	"ZNHIT6"	"HAO2"	"SAC3D1"	""	"TMEM70"	"HLA-DQA1"	"TMEM184B"	"RPL23"	"NSFL1C"	"RAB3A"
"UBE2N"	""	"HS3ST3B1"	""	"NDUFS8"	""	""	""	"ZXDC"	"HAUS3"	"SASH3"	""	"TMX1"	"LY86"	"TMEM39B"	"RPL37A"	"NUBP1"	"RAD17"
"ZBTB32"	""	"IL10"	""	"NOP10"	""	""	""	"ACAP1"	"HELZ"	"SCAMP2"	""	"TPP1"	"MMP9"	"TNFSF18"	"RRAS2"	"NUP214"	"RALY"
"ACRV1"	""	"IL10RA"	""	"NPTN"	""	""	""	"ADSL"	"HIST1H4F"	"SF3B4"	""	"TREM2"	"MS4A6A"	"TNPO1"	"RYK"	"OGFR"	"RASIP1"
"ADAM20"	""	"IL19"	""	"NRBP1"	""	""	""	"AK1"	"HMGN4"	"SFXN1"	""	"TRIP4"	"NCF2"	"TPD52L2"	"S1PR2"	"OSBPL11"	"RAX"
"ADAM21"	""	"IL2RA"	""	"NSMAF"	""	""	""	"ANAPC5"	"IL2RB"	"SH2D1A"	""	"TSPO"	"RNASE6"	"TTLL5"	"SAR1A"	"OSM"	"RFX2"
"ADAM30"	""	"IL9"	""	"NSUN3"	""	""	""	"BAG3"	"INPP4A"	"SHMT2"	""	"UQCR11"	"SLC15A3"	"TUSC2"	"SCAMP1"	"P2RY13"	"RGS1"
"ADAMTS12"	""	"IMPDH1"	""	"NUBP1"	""	""	""	"BMPR1A"	"INTS5"	"SLAMF1"	""	"USP14"	""	"TUT1"	"SCRN1"	"PADI4"	"RGS13"
"ADCY2"	""	"KCNMB1"	""	"NUDT9"	""	""	""	"CAMSAP1"	"ISCA1"	"SLC25A32"	""	"UTP3"	""	"TXNDC9"	"SEC22A"	"PANK2"	"RNF103"
"AIPL1"	""	"KDM6B"	""	"NUMB"	""	""	""	"CCR6"	"KIF2A"	"SLC26A4"	""	"VIM"	""	"UFD1L"	"SEC24A"	"PCTP"	"RNF113A"
"ANKRD34C"	""	"LAIR1"	""	"ORMDL2"	""	""	""	"CD247"	"KLRD1"	"SMC2"	""	"VPS33A"	""	"WDR4"	"SEC61A1"	"PDE6H"	"RNF208"
"AP1M2"	""	"LILRA5"	""	"P2RX7"	""	""	""	"CD48"	"KRT1"	"SOS1"	""	"VSIG4"	""	"YKT6"	"SEPT10"	"PGGT1B"	"RNGTT"
"AQP8"	""	"LILRB1"	""	"PANK3"	""	""	""	"CDKN2AIP"	"LRIG2"	"SPC25"	""	"WDR11"	""	"CETP"	"SEPT2"	"PGLS"	"RPN1"
"ART1"	""	"LILRB2"	""	"PCDHB11"	""	""	""	"CNIH4"	"MED6"	"SRF"	""	"WSB2"	""	"FUS"	"SGCD"	"PHKG2"	"RPN2"
"C4BPA"	""	"LILRB5"	""	"PCMT1"	""	""	""	"COL5A3"	"MMP11"	"STIP1"	""	"WTAP"	""	"KALRN"	"SGCG"	"PHLDA2"	"SAP30BP"
"CAPN3"	""	"MAGT1"	""	"PDCD6IP"	""	""	""	"CORO7"	"NCK1"	"STX8"	""	"ZC3H15"	""	"MYL2"	"SH3BP2"	"PIAS1"	"SCFD1"
"CASQ2"	""	"MAP2K1"	""	"PEX14"	""	""	""	"CRY2"	"PARP11"	"TAB2"	""	"ZMPSTE24"	""	"POMGNT1"	"SHMT2"	"PIKFYVE"	"SEC24A"
"CD1C"	""	"MED25"	""	"PEX19"	""	""	""	"CSNK1D"	"PCDHA10"	"TACC3"	""	"APOL3"	""	"TPM3"	"SHQ1"	"PILRA"	"SEC61A1"
"CD3EAP"	""	"MFN1"	""	"PMFBP1"	""	""	""	"DAB1"	"PDCD1"	"TAF1B"	""	"CCL4"	""	"ABCB9"	"SIM1"	"PLAA"	"SEC61B"
"CER1"	""	"MGRN1"	""	"PPCS"	""	""	""	"DDX24"	"PPWD1"	"TBX21"	""	"CCL5"	""	"ABCD4"	"SIX5"	"PLD2"	"SEC61G"
"CETP"	""	"MIIP"	""	"PQLC2"	""	""	""	"DGCR14"	"PTPRCAP"	"TDP1"	""	"CCR7"	""	"ABCF2"	"SLC25A32"	"PLEK"	"SEC62"
"CHP2"	""	"MMP25"	""	"PRDX1"	""	""	""	"DHX16"	"RGS1"	"TINF2"	""	"CD38"	""	"ACE"	"SLC35A2"	"PLP2"	"SEC63"
"CHRM2"	""	"MTF1"	""	"PRDX3"	""	""	""	"DNAI2"	"RPS6KB1"	"TIPRL"	""	"EBI3"	""	"ACTG1"	"SLC35A5"	"PNP"	"SEMA6C"
"CHRNA2"	""	"MTHFD2"	""	"PSMD10"	""	""	""	"DNMT1"	"SEC24A"	"TMEM110"	""	"HCK"	""	"ACTL7A"	"SLC35E1"	"POU2F2"	"SERP1"
"CHST5"	""	"N4BP1"	""	"PSME1"	""	""	""	"DVL1"	"SFXN1"	"TMPO"	""	"IDO1"	""	"ADRA1B"	"SMAD5"	"PPM1A"	"SHANK1"
"CLDN17"	""	"NETO2"	""	"PTPN12"	""	""	""	"EDC4"	"SGCD"	"TOP3B"	""	"IRF8"	""	"AHDC1"	"SNAPC2"	"PPM1F"	"SHBG"
"COLEC10"	""	"NEU3"	""	"PTPRA"	""	""	""	"EIF2B5"	"SH2D1A"	"TOR1A"	""	"LAMP3"	""	"AKAP4"	"SNED1"	"PPP1CB"	"SIPA1L3"
"COX6A2"	""	"NFE2L2"	""	"QDPR"	""	""	""	"ERN1"	"SIT1"	"TOR1AIP1"	""	"TNFAIP6"	""	"AP2M1"	"SNTB2"	"PRKACA"	"SIX5"
"CPA2"	""	"NFKBIB"	""	"RAB1A"	""	""	""	"EXOC1"	"SLC6A7"	"TPX2"	""	""	""	"ARF1"	"SNX19"	"PSTPIP1"	"SLC13A2"
"CPB1"	""	"NRAS"	""	"RAB5C"	""	""	""	"FAM193B"	"SMAP1"	"TTK"	""	""	""	"ARVCF"	"SPAG16"	"PTCH2"	"SLC35B1"
"CRB1"	""	"NSUN3"	""	"RABGGTA"	""	""	""	"FASTK"	"STUB1"	"UCHL5"	""	""	""	"ATF7"	"SPATA7"	"PTEN"	"SLC35C2"
"CSN1S1"	""	"NUP62"	""	"RAC1"	""	""	""	"FBXL8"	"SYN2"	"UEVLD"	""	""	""	"ATP1B3"	"SPIN1"	"PTGIR"	"SLC38A10"
"CXCL13"	""	"OGFR"	""	"RALA"	""	""	""	"FXYD7"	"TMEM30B"	"USP1"	""	""	""	"ATP2B3"	"SPTLC1"	"PTP4A2"	"SLC5A2"
"CYLC2"	""	"OPA3"	""	"RB1"	""	""	""	"GGA3"	"TNFSF8"	"VANGL1"	""	""	""	"ATP6V0E1"	"ST7L"	"PTPN18"	"SLC6A13"
"CYP2A7"	""	"OSM"	""	"RENBP"	""	""	""	"GLTSCR2"	"TNKS2"	"WBP11"	""	""	""	"ATXN2L"	"SVEP1"	"QKI"	"SLCO5A1"
"CYP2C19"	""	"P2RX7"	""	"RTN4"	""	""	""	"GMEB2"	"TNRC6B"	"ZBTB16"	""	""	""	"AURKAIP1"	"TADA2A"	"RAB5A"	"SMPD2"
"DCC"	""	"PAK2"	""	"S1PR2"	""	""	""	"GOLGB1"	"TPP2"	"ZBTB32"	""	""	""	"B3GALT5"	"TBC1D17"	"RABGEF1"	"SNAPC4"
"DDX4"	""	"PGK1"	""	"SCAMP2"	""	""	""	"GPR15"	"TRADD"	"ZCCHC4"	""	""	""	"BANF1"	"TBL2"	"RARA"	"SPATS2"
"DPP6"	""	"PITPNA"	""	"SDHB"	""	""	""	"GPR25"	"TRAF3IP1"	"ZMAT5"	""	""	""	"BYSL"	"TBX5"	"RBM41"	"SPCS1"
"DSCR4"	""	"RAB21"	""	"SDHD"	""	""	""	"HNRNPUL1"	"USP36"	"ZNF174"	""	""	""	"C16orf62"	"TCEAL4"	"REEP4"	"SRP54"
"DSP"	""	"RAB35"	""	"SDS"	""	""	""	"HUWE1"	"VPS33A"	"ZNF668"	""	""	""	"C19orf24"	"TCF21"	"RELA"	"SRPRB"
"FMO1"	""	"RAB5A"	""	"SEPT10"	""	""	""	"IDUA"	"WDR18"	"APOBEC3G"	""	""	""	"C1orf123"	"TEX261"	"RETN"	"SS18"
"FMO6P"	""	"RAMP3"	""	"SETD3"	""	""	""	"IKZF1"	"XCL1"	"CCL4"	""	""	""	"CALM1"	"TFDP1"	"RGS19"	"SSR1"
"FSCN2"	""	"RAPGEF1"	""	"SH3GLB1"	""	""	""	"IL2RA"	"ZAP70"	"CCL5"	""	""	""	"CAPN11"	"TFG"	"RHOA"	"SSR4"
"FSCN3"	""	"RELA"	""	"SIGLEC7"	""	""	""	"INPP5E"	"ZBTB1"	"CD3D"	""	""	""	"CASP10"	"THAP10"	"RHOG"	"STMN4"
