"Gene Symbol"	"Disease Name"
"LAG3"	"COAD"
"LAT2"	"COAD"
"LCK"	"COAD"
"LCP1"	"COAD"
"LCP2"	"COAD"
"LIF"	"COAD"
"LILRA1"	"COAD"
"LILRA2"	"COAD"
"LILRA6"	"COAD"
"LILRB1"	"COAD"
"LILRB2"	"COAD"
"LILRB3"	"COAD"
"LIMS1"	"COAD"
"LITAF"	"COAD"
"LOC338758"	"COAD"
"LOC374443"	"COAD"
"LPXN"	"COAD"
"LRMP"	"COAD"
"LRP10"	"COAD"
"LRRC8C"	"COAD"
"LRRN3"	"COAD"
"LSP1"	"COAD"
"LST1"	"COAD"
"LTA"	"COAD"
"LY96"	"COAD"
"LY9"	"COAD"
"LYN"	"COAD"
"M6PR"	"COAD"
"MAFF"	"COAD"
"MAF"	"COAD"
"MAP3K8"	"COAD"
"MAP4K1"	"COAD"
"MARCH1"	"COAD"
"MBD2"	"COAD"
"MBNL1"	"COAD"
"MBP"	"COAD"
"MDM2"	"COAD"
"MEFV"	"COAD"
"MEGF9"	"COAD"
"MEI1"	"COAD"
"MEX3C"	"COAD"
"MFNG"	"COAD"
"MGAT2"	"COAD"
"MGC29506"	"COAD"
"MIR155HG"	"COAD"
"MMP12"	"COAD"
"MMP14"	"COAD"
"MMP19"	"COAD"
"MMP1"	"COAD"
"MMP25"	"COAD"
"MMP9"	"COAD"
"MNDA"	"COAD"
"MOBKL2A"	"COAD"
"MPEG1"	"COAD"
"MPPE1"	"COAD"
"MS4A6A"	"COAD"
"MSC"	"COAD"
"MTF1"	"COAD"
"MX1"	"COAD"
"MX2"	"COAD"
"MXD1"	"COAD"
"MYO1F"	"COAD"
"MYO1G"	"COAD"
"NAGK"	"COAD"
"NAV1"	"COAD"
"NCF2"	"COAD"
"NCF4"	"COAD"
"NCK1"	"COAD"
"NCKAP1L"	"COAD"
"NCR3"	"COAD"
"NECAP2"	"COAD"
"NFAM1"	"COAD"
"NIN"	"COAD"
"NKG7"	"COAD"
"NLRC3"	"COAD"
"NLRP12"	"COAD"
"NLRP7"	"COAD"
"NPC1"	"COAD"
"NPL"	"COAD"
"NR3C1"	"COAD"
"NR4A3"	"COAD"
"NRBF2"	"COAD"
"NRIP3"	"COAD"
"NRP1"	"COAD"
"NRP2"	"COAD"
"NUB1"	"COAD"
"NUMB"	"COAD"
"OAS2"	"COAD"
"OAS3"	"COAD"
"OAZ2"	"COAD"
"OGFRL1"	"COAD"
"OSBPL8"	"COAD"
"OSM"	"COAD"
"OSTM1"	"COAD"
"OTUD1"	"COAD"
"P2RX5"	"COAD"
"P2RY13"	"COAD"
"P2RY8"	"COAD"
"PARP8"	"COAD"
"PARP9"	"COAD"
"PARVG"	"COAD"
"PATL2"	"COAD"
"PDCD1LG2"	"COAD"
"PDE4B"	"COAD"
"PFKFB3"	"COAD"
"PHACTR1"	"COAD"
"PHC2"	"COAD"
"PI3"	"COAD"
"PI4K2A"	"COAD"
"PIK3CD"	"COAD"
"PIK3IP1"	"COAD"
"PIK3R5"	"COAD"
"PILRA"	"COAD"
"PIM1"	"COAD"
"PIM2"	"COAD"
"PIP4K2A"	"COAD"
"PLA2G7"	"COAD"
"PLAUR"	"COAD"
"PLD3"	"COAD"
"PLEK"	"COAD"
"PLXNC1"	"COAD"
"PNOC"	"COAD"
"POU2F2"	"COAD"
"PPM1F"	"COAD"
"PPM1M"	"COAD"
"PRAM1"	"COAD"
"PRDM1"	"COAD"
"PREX1"	"COAD"
"PRF1"	"COAD"
"PRICKLE1"	"COAD"
"PRKCH"	"COAD"
"PRMT2"	"COAD"
"PTAFR"	"COAD"
"PTEN"	"COAD"
"PTGDR"	"COAD"
"PTGER2"	"COAD"
"PTGS2"	"COAD"
"PTPN22"	"COAD"
"PTPN6"	"COAD"
"PTPN7"	"COAD"
"PTPRCAP"	"COAD"
"PTPRE"	"COAD"
"PTX3"	"COAD"
"PVRL2"	"COAD"
"PYHIN1"	"COAD"
"RAB30"	"COAD"
"RAB37"	"COAD"
"RAB8B"	"COAD"
"RAP2B"	"COAD"
"RAPGEF1"	"COAD"
"RASA3"	"COAD"
"RASAL3"	"COAD"
"RASGRP1"	"COAD"
"RASGRP2"	"COAD"
"RASGRP3"	"COAD"
"RASGRP4"	"COAD"
"RASSF2"	"COAD"
"RASSF4"	"COAD"
"RASSF5"	"COAD"
"RBMS1"	"COAD"
"RCSD1"	"COAD"
"RDX"	"COAD"
"RECK"	"COAD"
"RELB"	"COAD"
"RELT"	"COAD"
"RFTN1"	"COAD"
"RGL4"	"COAD"
"RGS18"	"COAD"
"RGS19"	"COAD"
"RGS1"	"COAD"
"RHOG"	"COAD"
"RHOH"	"COAD"
"RILPL2"	"COAD"
"RIT1"	"COAD"
"RNASE2"	"COAD"
"RNASE6"	"COAD"
"RNF125"	"COAD"
"RNF144B"	"COAD"
"RNF19B"	"COAD"
"RORA"	"COAD"
"RRAGC"	"COAD"
"RSAD2"	"COAD"
"RUNX2"	"COAD"
"RUNX3"	"COAD"
"RYBP"	"COAD"
"S100A12"	"COAD"
"S1PR4"	"COAD"
"S1PR5"	"COAD"
"SAMD3"	"COAD"
"SAMD9L"	"COAD"
"SAMD9"	"COAD"
"SAMHD1"	"COAD"
"SAMSN1"	"COAD"
"SASH3"	"COAD"
"SEC14L1"	"COAD"
"SEC24A"	"COAD"
"SELPLG"	"COAD"
"SEPT1"	"COAD"
"SEPT6"	"COAD"
"SERPINB7"	"COAD"
"SERPINB9"	"COAD"
"SFMBT2"	"COAD"
"SH2B3"	"COAD"
"SH3BP5"	"COAD"
"SIGLEC1"	"COAD"
"SLAMF1"	"COAD"
"SLAMF7"	"COAD"
"SLAMF8"	"COAD"
"SLA"	"COAD"
"SLC11A1"	"COAD"
"SLC15A3"	"COAD"
"SLC15A4"	"COAD"
"SLC16A3"	"COAD"
"SLC16A6"	"COAD"
"SLC2A3"	"COAD"
"SLC2A6"	"COAD"
"SLC31A2"	"COAD"
"SLC36A4"	"COAD"
"SLC38A6"	"COAD"
"SLC43A3"	"COAD"
"SLFN5"	"COAD"
"SMAP2"	"COAD"
"SMCHD1"	"COAD"
"SMEK1"	"COAD"
"SOCS1"	"COAD"
"SP110"	"COAD"
"SP140L"	"COAD"
"SPI1"	"COAD"
"SPIB"	"COAD"
"SPOCD1"	"COAD"
"SPRED1"	"COAD"
"SRGAP2"	"COAD"
"SSH1"	"COAD"
"ST3GAL1"	"COAD"
"ST8SIA4"	"COAD"
"STAB1"	"COAD"
"STAP1"	"COAD"
"STAT1"	"COAD"
"STAT4"	"COAD"
"STK10"	"COAD"
"STK17A"	"COAD"
"STK17B"	"COAD"
"STX11"	"COAD"
"SWAP70"	"COAD"
"SYTL3"	"COAD"
"TAGAP"	"COAD"
"TAP2"	"COAD"
"TBC1D10C"	"COAD"
"TBX21"	"COAD"
"TET2"	"COAD"
"TFEC"	"COAD"
"TFPI2"	"COAD"
"TGFB1"	"COAD"
"TGFBR1"	"COAD"
"THBS1"	"COAD"
"TIFAB"	"COAD"
"TIGIT"	"COAD"
"TIMP2"	"COAD"
"TK2"	"COAD"
"TLR10"	"COAD"
"TLR1"	"COAD"
"TLR2"	"COAD"
"TLR4"	"COAD"
"TLR8"	"COAD"
"TM6SF1"	"COAD"
"TM7SF4"	"COAD"
"TMC8"	"COAD"
"TMEM149"	"COAD"
"TMEM156"	"COAD"
"TMEM167A"	"COAD"
"TMEM30A"	"COAD"
"TMEM71"	"COAD"
"TMIGD2"	"COAD"
"TNFAIP2"	"COAD"
"TNFAIP3"	"COAD"
"TNFAIP6"	"COAD"
"TNFAIP8"	"COAD"
"TNFRSF17"	"COAD"
"TNFRSF18"	"COAD"
"TNFRSF1B"	"COAD"
"TNFRSF4"	"COAD"
"TNFRSF9"	"COAD"
"TNFSF13B"	"COAD"
"TNFSF8"	"COAD"
"TNF"	"COAD"
"TNIP1"	"COAD"
"TNIP3"	"COAD"
"TPP1"	"COAD"
"TRAF1"	"COAD"
"TRAF3IP3"	"COAD"
"TRAFD1"	"COAD"
"TRAM1"	"COAD"
"TRAM2"	"COAD"
"TRAT1"	"COAD"
"TREM2"	"COAD"
"TRERF1"	"COAD"
"TRIM38"	"COAD"
"TRIM69"	"COAD"
"TRPV2"	"COAD"
"TSC22D3"	"COAD"
"TTYH2"	"COAD"
"TXNDC11"	"COAD"
"TXNDC15"	"COAD"
"TYMP"	"COAD"
"UBE2G1"	"COAD"
"UBE2J1"	"COAD"
"UCP2"	"COAD"
"UGCG"	"COAD"
"UPP1"	"COAD"
"USP15"	"COAD"
"USP18"	"COAD"
"VCAN"	"COAD"
"VNN2"	"COAD"
"VPREB3"	"COAD"
"WAS"	"COAD"
"WIPF1"	"COAD"
"WNT5A"	"COAD"
"XAF1"	"COAD"
"XCL1"	"COAD"
"ZAP70"	"COAD"
"ZBED2"	"COAD"
"ZBP1"	"COAD"
"ZBTB1"	"COAD"
"ZC3H12C"	"COAD"
"ZC3HAV1"	"COAD"
"ZCCHC2"	"COAD"
"ZDHHC18"	"COAD"
"ZEB2"	"COAD"
"ZNF467"	"COAD"
"AMICA1"	"DLBC"
"APOBEC3G"	"DLBC"
"ARL4C"	"DLBC"
"ATP8B2"	"DLBC"
"BATF3"	"DLBC"
"BCL11B"	"DLBC"
"BIN2"	"DLBC"
"BLVRA"	"DLBC"
"C10orf54"	"DLBC"
"C1orf38"	"DLBC"
"C5orf20"	"DLBC"
"C5orf56"	"DLBC"
"CCDC109B"	"DLBC"
"CCL19"	"DLBC"
"CCL4"	"DLBC"
"CCND2"	"DLBC"
"CCR2"	"DLBC"
"CCR7"	"DLBC"
"CD2"	"DLBC"
"CD3D"	"DLBC"
"CD3E"	"DLBC"
"CD3G"	"DLBC"
"CD5"	"DLBC"
"CD69"	"DLBC"
"CD6"	"DLBC"
"CD7"	"DLBC"
"CD96"	"DLBC"
"CD97"	"DLBC"
"CECR1"	"DLBC"
"CELF2"	"DLBC"
"CHST12"	"DLBC"
"CHST2"	"DLBC"
"CHST7"	"DLBC"
"CISH"	"DLBC"
"CLEC10A"	"DLBC"
"CLIC2"	"DLBC"
"CPPED1"	"DLBC"
"CRIM1"	"DLBC"
"CRTAM"	"DLBC"
"CST7"	"DLBC"
"CTLA4"	"DLBC"
"CXCR6"	"DLBC"
"CYSLTR1"	"DLBC"
"CYTH4"	"DLBC"
"CYTIP"	"DLBC"
"DDX60L"	"DLBC"
"DPEP2"	"DLBC"
"DTX3L"	"DLBC"
"EIF4E3"	"DLBC"
"ETV6"	"DLBC"
"EVI2B"	"DLBC"
"FAM101B"	"DLBC"
"FAM26F"	"DLBC"
"FAS"	"DLBC"
"FBXO6"	"DLBC"
"FGR"	"DLBC"
"FMNL1"	"DLBC"
"FXYD5"	"DLBC"
"FYB"	"DLBC"
"GGTA1"	"DLBC"
"GIMAP2"	"DLBC"
"GIMAP4"	"DLBC"
"GIMAP5"	"DLBC"
"GIMAP6"	"DLBC"
"GIMAP7"	"DLBC"
"GLIPR2"	"DLBC"
"GNG7"	"DLBC"
"GNPTAB"	"DLBC"
"GPR132"	"DLBC"
"GPR15"	"DLBC"
"GPR171"	"DLBC"
"GZMK"	"DLBC"
"GZMM"	"DLBC"
"HERC5"	"DLBC"
"HLX"	"DLBC"
"ICOS"	"DLBC"
"IFNGR1"	"DLBC"
"IFNG"	"DLBC"
"IL15"	"DLBC"
"IL22"	"DLBC"
"IL27RA"	"DLBC"
"IL2RB"	"DLBC"
"IL32"	"DLBC"
"ITGAX"	"DLBC"
"ITK"	"DLBC"
"JAK3"	"DLBC"
"KCNJ2"	"DLBC"
"KLRG1"	"DLBC"
"LAG3"	"DLBC"
"LASS6"	"DLBC"
"LCP2"	"DLBC"
"LDLRAP1"	"DLBC"
"LEPROTL1"	"DLBC"
"LFNG"	"DLBC"
"LIF"	"DLBC"
"LRRC8C"	"DLBC"
"LRRN3"	"DLBC"
"LY96"	"DLBC"
"MAF"	"DLBC"
"MANSC1"	"DLBC"
"MYLIP"	"DLBC"
"MYO1F"	"DLBC"
"NAGPA"	"DLBC"
"NSMAF"	"DLBC"
"P2RY13"	"DLBC"
"PATL2"	"DLBC"
"PIK3R5"	"DLBC"
"PRKCQ"	"DLBC"
"PTGER2"	"DLBC"
"PTPN6"	"DLBC"
"RAB37"	"DLBC"
"RALB"	"DLBC"
"RGL4"	"DLBC"
"RNF125"	"DLBC"
"RNF213"	"DLBC"
"RORA"	"DLBC"
"S1PR4"	"DLBC"
"SELPLG"	"DLBC"
"SEMA4D"	"DLBC"
"SEPX1"	"DLBC"
"SLC26A11"	"DLBC"
"SLC27A3"	"DLBC"
"SLCO3A1"	"DLBC"
"SLFN5"	"DLBC"
"SOCS1"	"DLBC"
"STAT4"	"DLBC"
"TBX21"	"DLBC"
"TET2"	"DLBC"
"TGFA"	"DLBC"
"TIFAB"	"DLBC"
"TNFRSF1B"	"DLBC"
"TRAT1"	"DLBC"
"UBE2F"	"DLBC"
"USP18"	"DLBC"
"XAF1"	"DLBC"
"XCL1"	"DLBC"
"ZAP70"	"DLBC"
"ZC3HAV1"	"DLBC"
"ZDHHC18"	"DLBC"
"ZEB2"	"DLBC"
"ZFP36L2"	"DLBC"
"ABL2"	"ESCA"
"AIM2"	"ESCA"
"AMPD1"	"ESCA"
"ARHGAP30"	"ESCA"
"ATP8B2"	"ESCA"
"BATF3"	"ESCA"
"C1orf162"	"ESCA"
"C1orf38"	"ESCA"
"CAP1"	"ESCA"
"CD1A"	"ESCA"
"CD1B"	"ESCA"
"CD1C"	"ESCA"
"CD1D"	"ESCA"
"CD1E"	"ESCA"
"CD244"	"ESCA"
"CD247"	"ESCA"
"CD2"	"ESCA"
"CD53"	"ESCA"
"CD84"	"ESCA"
"CDA"	"ESCA"
"CHI3L1"	"ESCA"
"CR1"	"ESCA"
"CSF1"	"ESCA"
"CSF3R"	"ESCA"
"DPYD"	"ESCA"
"FAIM3"	"ESCA"
"FAM129A"	"ESCA"
"FASLG"	"ESCA"
"FCER1A"	"ESCA"
"FCGR2A"	"ESCA"
"FCGR2B"	"ESCA"
"FCGR2C"	"ESCA"
"FCGR3B"	"ESCA"
"FCRL1"	"ESCA"
"FCRL2"	"ESCA"
"FCRL3"	"ESCA"
"FCRL5"	"ESCA"
"FCRLA"	"ESCA"
"FGR"	"ESCA"
"GBP1"	"ESCA"
"GBP5"	"ESCA"
"HLX"	"ESCA"
"IFI16"	"ESCA"
"IFI44L"	"ESCA"
"IFI44"	"ESCA"
"IL24"	"ESCA"
"IL6R"	"ESCA"
"LRRC8C"	"ESCA"
"LY9"	"ESCA"
"MNDA"	"ESCA"
"NBPF10"	"ESCA"
"NCF2"	"ESCA"
"NECAP2"	"ESCA"
"PDE4B"	"ESCA"
"PTAFR"	"ESCA"
"PTPN22"	"ESCA"
"PTPN7"	"ESCA"
"PTPRC"	"ESCA"
"PYHIN1"	"ESCA"
"RASSF5"	"ESCA"
"RCSD1"	"ESCA"
"RGS18"	"ESCA"
"RGS1"	"ESCA"
"RNF19B"	"ESCA"
"S100A12"	"ESCA"
"SH2D2A"	"ESCA"
"SLAMF1"	"ESCA"
"SLAMF7"	"ESCA"
"SLAMF8"	"ESCA"
"SMAP2"	"ESCA"
"SPOCD1"	"ESCA"
"TNFRSF4"	"ESCA"
"TNFRSF9"	"ESCA"
"TRAF3IP3"	"ESCA"
"ADAM8"	"ESCA"
"ALOX5"	"ESCA"
"APBB1IP"	"ESCA"
"ARHGAP22"	"ESCA"
"C10orf54"	"ESCA"
"CELF2"	"ESCA"
"CSGALNACT2"	"ESCA"
"DUSP5"	"ESCA"
"ENTPD1"	"ESCA"
"IFIT2"	"ESCA"
"IFIT3"	"ESCA"
"IL2RA"	"ESCA"
"KLF6"	"ESCA"
"MAP3K8"	"ESCA"
"NRP1"	"ESCA"
"PRF1"	"ESCA"
"PRKCQ"	"ESCA"
"PTPRE"	"ESCA"
"SFMBT2"	"ESCA"
"ACER3"	"ESCA"
"AMICA1"	"ESCA"
"AMPD3"	"ESCA"
"ATG16L2"	"ESCA"
"ATL3"	"ESCA"
"BIRC3"	"ESCA"
"C11orf21"	"ESCA"
"CASP1"	"ESCA"
"CCDC88B"	"ESCA"
"CD3D"	"ESCA"
"CD3E"	"ESCA"
"CD3G"	"ESCA"
"CD5"	"ESCA"
"CD6"	"ESCA"
"CRTAM"	"ESCA"
"CTSW"	"ESCA"
"FERMT3"	"ESCA"
"FLI1"	"ESCA"
"IL10RA"	"ESCA"
"IRF7"	"ESCA"
"LPXN"	"ESCA"
"LSP1"	"ESCA"
"MMP12"	"ESCA"
"MPEG1"	"ESCA"
"MS4A6A"	"ESCA"
"MS4A7"	"ESCA"
"PICALM"	"ESCA"
"PTPRCAP"	"ESCA"
"RASGRP2"	"ESCA"
"RDX"	"ESCA"
"RHOG"	"ESCA"
"SLC15A3"	"ESCA"
"SPI1"	"ESCA"
"TBC1D10C"	"ESCA"
"ARHGAP9"	"ESCA"
"ARNTL2"	"ESCA"
"BIN2"	"ESCA"
"CD27"	"ESCA"
"CD69"	"ESCA"
"CHST11"	"ESCA"
"CLEC2D"	"ESCA"
"CLEC4A"	"ESCA"
"CLEC4E"	"ESCA"
"CLEC7A"	"ESCA"
"CLECL1"	"ESCA"
"CPM"	"ESCA"
"FAM113B"	"ESCA"
"GLIPR1"	"ESCA"
"GLT1D1"	"ESCA"
"GPR84"	"ESCA"
"HVCN1"	"ESCA"
"IFNG"	"ESCA"
"IL22"	"ESCA"
"ITGB7"	"ESCA"
"KLRB1"	"ESCA"
"KLRD1"	"ESCA"
"KLRF1"	"ESCA"
"KLRK1"	"ESCA"
"LAG3"	"ESCA"
"LRMP"	"ESCA"
"MMP19"	"ESCA"
"NCKAP1L"	"ESCA"
"NFE2"	"ESCA"
"OAS2"	"ESCA"
"PLXNC1"	"ESCA"
"SELPLG"	"ESCA"
"SH2B3"	"ESCA"
"SLC2A3"	"ESCA"
"USP15"	"ESCA"
"GPR183"	"ESCA"
"GPR18"	"ESCA"
"KCTD12"	"ESCA"
"LCP1"	"ESCA"
"RCBTB2"	"ESCA"
"TNFSF13B"	"ESCA"
"ERO1L"	"ESCA"
"EVL"	"ESCA"
"FLVCR2"	"ESCA"
"GNG2"	"ESCA"
"GPR132"	"ESCA"
"GPR65"	"ESCA"
"GPR68"	"ESCA"
"GZMB"	"ESCA"
"GZMH"	"ESCA"
"KIAA0125"	"ESCA"
"PRKCH"	"ESCA"
"PTGDR"	"ESCA"
"RNASE2"	"ESCA"
"RNASE6"	"ESCA"
"AKAP13"	"ESCA"
"BCL2A1"	"ESCA"
"IL16"	"ESCA"
"ISG20"	"ESCA"
"RAB8B"	"ESCA"
"RASGRP1"	"ESCA"
"RORA"	"ESCA"
"THBS1"	"ESCA"
"TM6SF1"	"ESCA"
"ADCY7"	"ESCA"
"CCL17"	"ESCA"
"CCL22"	"ESCA"
"CD19"	"ESCA"
"CORO1A"	"ESCA"
"CYLD"	"ESCA"
"DPEP2"	"ESCA"
"IGSF6"	"ESCA"
"IL32"	"ESCA"
"IL4R"	"ESCA"
"ITGAL"	"ESCA"
"ITGAM"	"ESCA"
"ITGAX"	"ESCA"
"MAF"	"ESCA"
"MEFV"	"ESCA"
"MMP25"	"ESCA"
"NDE1"	"ESCA"
"NLRC3"	"ESCA"
"SEPT1"	"ESCA"
"SOCS1"	"ESCA"
"TNFRSF17"	"ESCA"
"ACAP1"	"ESCA"
"ADAP2"	"ESCA"
"CCL1"	"ESCA"
"CCL4"	"ESCA"
"CCL8"	"ESCA"
"CCR7"	"ESCA"
"CD300A"	"ESCA"
"CD79B"	"ESCA"
"CD7"	"ESCA"
"CLEC10A"	"ESCA"
"EVI2A"	"ESCA"
"EVI2B"	"ESCA"
"FAM101B"	"ESCA"
"FMNL1"	"ESCA"
"HS3ST3B1"	"ESCA"
"ICAM2"	"ESCA"
"PIK3R5"	"ESCA"
"SEC14L1"	"ESCA"
"SLC16A6"	"ESCA"
"STAT5A"	"ESCA"
"TBX21"	"ESCA"
"TIMP2"	"ESCA"
"TRPV2"	"ESCA"
"XAF1"	"ESCA"
"KLHL14"	"ESCA"
"SERPINB2"	"ESCA"
"C5AR1"	"ESCA"
"CD209"	"ESCA"
"CD37"	"ESCA"
"CD79A"	"ESCA"
"CLC"	"ESCA"
"EBI3"	"ESCA"
"EMR2"	"ESCA"
"EMR3"	"ESCA"
"FAM129C"	"ESCA"
"FCAR"	"ESCA"
"FFAR2"	"ESCA"
"FPR1"	"ESCA"
"FPR2"	"ESCA"
"FPR3"	"ESCA"
"FXYD5"	"ESCA"
"GMFG"	"ESCA"
"GNA15"	"ESCA"
"GNG7"	"ESCA"
"GZMM"	"ESCA"
"HCST"	"ESCA"
"HMHA1"	"ESCA"
"ICAM3"	"ESCA"
"JAK3"	"ESCA"
"KCNK6"	"ESCA"
"LILRA1"	"ESCA"
"LILRB1"	"ESCA"
"LILRB2"	"ESCA"
"LILRB3"	"ESCA"
"MAP4K1"	"ESCA"
"MYO1F"	"ESCA"
"NKG7"	"ESCA"
"NLRP12"	"ESCA"
"NLRP7"	"ESCA"
"PLAUR"	"ESCA"
"POU2F2"	"ESCA"
"PRAM1"	"ESCA"
"RASAL3"	"ESCA"
"RASGRP4"	"ESCA"
"S1PR4"	"ESCA"
"SPIB"	"ESCA"
"TGFB1"	"ESCA"
"ANKRD44"	"ESCA"
"ARHGAP15"	"ESCA"
"ARHGAP25"	"ESCA"
"CD8B"	"ESCA"
"CFLAR"	"ESCA"
"CMPK2"	"ESCA"
"CRIM1"	"ESCA"
"CTLA4"	"ESCA"
"CXCR1"	"ESCA"
"CXCR2"	"ESCA"
"CYP1B1"	"ESCA"
"CYTIP"	"ESCA"
"DOCK10"	"ESCA"
"FAM49A"	"ESCA"
"ICOS"	"ESCA"
"IFIH1"	"ESCA"
"IKZF2"	"ESCA"
"IL18RAP"	"ESCA"
"IL1A"	"ESCA"
"INPP5D"	"ESCA"
"ITGA4"	"ESCA"
"NAGK"	"ESCA"
"NRP2"	"ESCA"
"OBFC2A"	"ESCA"
"PLEK"	"ESCA"
"RASGRP3"	"ESCA"
"RBMS1"	"ESCA"
"RSAD2"	"ESCA"
"SLC11A1"	"ESCA"
"SP110"	"ESCA"
"STAT1"	"ESCA"
"STAT4"	"ESCA"
"STK17B"	"ESCA"
"TNFAIP6"	"ESCA"
"WIPF1"	"ESCA"
"ZAP70"	"ESCA"
"ZEB2"	"ESCA"
"CD40"	"ESCA"
"CST7"	"ESCA"
"HCK"	"ESCA"
"MMP9"	"ESCA"
"PREX1"	"ESCA"
"RASSF2"	"ESCA"
"SAMHD1"	"ESCA"
"SIGLEC1"	"ESCA"
"ZBP1"	"ESCA"
"BACH1"	"ESCA"
"MIR155HG"	"ESCA"
"MX2"	"ESCA"
"SAMSN1"	"ESCA"
"CECR1"	"ESCA"
"CSF2RB"	"ESCA"
"CYTH4"	"ESCA"
"DERL3"	"ESCA"
"HMOX1"	"ESCA"
"IL2RB"	"ESCA"
"MEI1"	"ESCA"
"MFNG"	"ESCA"
"NCF4"	"ESCA"
"NFAM1"	"ESCA"
"PARVG"	"ESCA"
"SCO2"	"ESCA"
"TYMP"	"ESCA"
"BHLHE40"	"ESCA"
"BTLA"	"ESCA"
"CAMP"	"ESCA"
"CCR1"	"ESCA"
"CCR2"	"ESCA"
"CCR3"	"ESCA"
"CCR5"	"ESCA"
"CD80"	"ESCA"
"CD86"	"ESCA"
"CD96"	"ESCA"
"CHST2"	"ESCA"
"CX3CR1"	"ESCA"
"CXCR6"	"ESCA"
"EDEM1"	"ESCA"
"EOMES"	"ESCA"
"GNB4"	"ESCA"
"GPR15"	"ESCA"
"GPR171"	"ESCA"
"HCLS1"	"ESCA"
"KBTBD8"	"ESCA"
"KLHL6"	"ESCA"
"P2RY13"	"ESCA"
"PROK2"	"ESCA"
"PTX3"	"ESCA"
"RFTN1"	"ESCA"
"STAB1"	"ESCA"
"TIGIT"	"ESCA"
"TRAT1"	"ESCA"
"ZBED2"	"ESCA"
"BMP2K"	"ESCA"
"CCDC109B"	"ESCA"
"CD38"	"ESCA"
"CXCL10"	"ESCA"
"CXCL11"	"ESCA"
"CXCL9"	"ESCA"
"DAPP1"	"ESCA"
"DDX60L"	"ESCA"
"EREG"	"ESCA"
"IL15"	"ESCA"
"RHOH"	"ESCA"
"RUFY3"	"ESCA"
"SPCS3"	"ESCA"
"STAP1"	"ESCA"
"TLR10"	"ESCA"
"TLR1"	"ESCA"
"TLR2"	"ESCA"
"TMEM154"	"ESCA"
"TMEM156"	"ESCA"
"TNIP3"	"ESCA"
"ADAM19"	"ESCA"
"C5orf20"	"ESCA"
"C5orf56"	"ESCA"
"COL4A3BP"	"ESCA"
"CSF1R"	"ESCA"
"CSF2"	"ESCA"
"DOCK2"	"ESCA"
"DOK3"	"ESCA"
"ELL2"	"ESCA"
"FYB"	"ESCA"
"GZMA"	"ESCA"
"GZMK"	"ESCA"
"HAVCR2"	"ESCA"
"HK3"	"ESCA"
"IL12B"	"ESCA"
"IRF1"	"ESCA"
"ITK"	"ESCA"
"LCP2"	"ESCA"
"NR3C1"	"ESCA"
"RAB24"	"ESCA"
"SEC24A"	"ESCA"
"ST8SIA4"	"ESCA"
"STK10"	"ESCA"
"TIFAB"	"ESCA"
"TNFAIP8"	"ESCA"
"TNIP1"	"ESCA"
"AIF1"	"ESCA"
"CDKN1A"	"ESCA"
"CPNE5"	"ESCA"
"DSE"	"ESCA"
"FAM26F"	"ESCA"
"FAM65B"	"ESCA"
"FYN"	"ESCA"
"GPSM3"	"ESCA"
"HLA-DQA1"	"ESCA"
"HLA-DQB1"	"ESCA"
"IRF4"	"ESCA"
"LST1"	"ESCA"
"LTA"	"ESCA"
"LTB"	"ESCA"
"MGC39372"	"ESCA"
"NCR3"	"ESCA"
"OGFRL1"	"ESCA"
"OSTM1"	"ESCA"
"PLA2G7"	"ESCA"
"PRDM1"	"ESCA"
"RNF144B"	"ESCA"
"SAMD3"	"ESCA"
"SERPINB9"	"ESCA"
"STX11"	"ESCA"
"SYTL3"	"ESCA"
"TAGAP"	"ESCA"
"TAP2"	"ESCA"
"TMEM30A"	"ESCA"
"TNFAIP3"	"ESCA"
"TNF"	"ESCA"
"TREM2"	"ESCA"
"TRIM38"	"ESCA"
"VNN2"	"ESCA"
"CLEC5A"	"ESCA"
"FGL2"	"ESCA"
"GIMAP2"	"ESCA"
"GIMAP4"	"ESCA"
"GIMAP6"	"ESCA"
"GIMAP7"	"ESCA"
"IKZF1"	"ESCA"
"IL6"	"ESCA"
"INHBA"	"ESCA"
"LAT2"	"ESCA"
"MYO1G"	"ESCA"
"PILRA"	"ESCA"
"SAMD9L"	"ESCA"
"SAMD9"	"ESCA"
"STK17A"	"ESCA"
"TFEC"	"ESCA"
"TFPI2"	"ESCA"
"UPP1"	"ESCA"
"ZNF467"	"ESCA"
"BLK"	"ESCA"
"DEFA4"	"ESCA"
"DNAJC5B"	"ESCA"
"IDO1"	"ESCA"
"LY96"	"ESCA"
"PNOC"	"ESCA"
"SLA"	"ESCA"
"ST3GAL1"	"ESCA"
"TMEM71"	"ESCA"
"TNFRSF10C"	"ESCA"
"CCL19"	"ESCA"
"CD274"	"ESCA"
"CLIC3"	"ESCA"
"CTSL1"	"ESCA"
"DOCK8"	"ESCA"
"FCN1"	"ESCA"
"FGD3"	"ESCA"
"FNBP1"	"ESCA"
"GLIPR2"	"ESCA"
"NR4A3"	"ESCA"
"PDCD1LG2"	"ESCA"
"RECK"	"ESCA"
"SLC31A2"	"ESCA"
"TLR4"	"ESCA"
"TNFSF8"	"ESCA"
"TRAF1"	"ESCA"
"UGCG"	"ESCA"
"CFP"	"ESCA"
"CLIC2"	"ESCA"
"CRLF2"	"ESCA"
