"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"CLCA4"	""	"EBI3"	"RNASE2"	"CHI3L1"	"RENBP"	"MGAT2"	"TREML2"	"CEPT1"	"CORO7"	"IFNG"	""	"IDO1"	"MARCO"	"FGL2"	"GRIN1"	"DLGAP5"	"HTR2A"
"CLCN1"	""	"EGR2"	"RRP12"	"CHIT1"	"RGS11"	"MLH1"	"TRIM25"	"CETN3"	"COX4I1"	"IKZF4"	""	"IFNAR1"	"MERTK"	"FGR"	"GRM4"	"DLST"	"HTR2B"
"CLDN14"	""	"EIF5"	"SAMSN1"	"CIAO1"	"RGS13"	"MPPED1"	"TRPM6"	"CGRRF1"	"CREBZF"	"IL12RB1"	""	"IGSF6"	"MFN1"	"FKBP15"	"GRWD1"	"DNAJC7"	"ICMT"
"CLDN17"	""	"ELL"	"SETD1B"	"CIR1"	"RNF103"	"MRC2"	"TTLL4"	"CHMP7"	"CROCC"	"IL13"	""	"IL10"	"MMP19"	"FNDC3A"	"GUCA1A"	"DNPEP"	"IDUA"
"CLEC1A"	""	"ENO1"	"SIAH1"	"CLCN7"	"RXRB"	"MUC3B"	"UBE2B"	"CLC"	"CRTAM"	"IL18RAP"	""	"IL12B"	"MMP9"	"FOLR2"	"GUSBP11"	"DYNC1H1"	"IMPACT"
"CNGB3"	""	"ETV3"	"SIGLEC8"	"CLEC4E"	"SAMSN1"	"NCR1"	"UBE2D1"	"CLIP1"	"CSNK1G2"	"IL26"	""	"IL17RA"	"MRM1"	"FOLR3"	"HAND2"	"DYNC1LI2"	"IPO5"
"CNKSR1"	""	"EXOC5"	"SLC19A1"	"CLEC5A"	"SCG2"	"NCR3"	"UBN1"	"CLPX"	"CST7"	"IL2RA"	""	"IRF8"	"MS4A4A"	"FPR1"	"HDLBP"	"DYNLL1"	"ISLR"
"CNOT1"	""	"F13A1"	"SMPD3"	"CLIP1"	"SERINC3"	"NEK1"	"UBXN2B"	"CLUAP1"	"CSTF2T"	"IL2RB"	""	"ITGAE"	"MS4A6A"	"FPR2"	"HEYL"	"DYRK1B"	"ITIH3"
"CNR1"	""	"FABP4"	"SRRM2"	"CLPB"	"SIGLEC6"	"NFE2L2"	"USP15"	"CMPK1"	"CTBP1"	"IL4"	""	"ITGB1BP1"	"MSR1"	"GABARAP"	"HIST1H2BB"	"ECD"	"JAK3"
"CNR2"	""	"FAM175B"	"STATH"	"CLTC"	"SIGLEC7"	"NIBP"	"VNN2"	"CNBP"	"CTDSP1"	"IL5"	""	"ITGB5"	"MTMR14"	"GALNT3"	"HOOK2"	"ECHS1"	"KDELR1"
"CNTFR"	""	"FBXL4"	"SYCP1"	"CMKLR1"	"SIGLEC8"	"NKG7"	"VNN3"	"CNIH4"	"CTR9"	"INPP4A"	""	"KCNJ1"	"MYO15A"	"GGA1"	"HSF4"	"EDC3"	"KDELR2"
"COCH"	""	"FCER1A"	"SYNJ1"	"CNIH4"	"SLC18A2"	"NMUR1"	"WDFY3"	"CNOT1"	"CTSW"	"ITGAL"	""	"KCNJ5"	"MYO9B"	"GIT2"	"HSP90B1"	"EDC4"	"KIAA1614"
"COL19A1"	""	"FCER1G"	"TACSTD2"	"COL4A3BP"	"SLC24A3"	"OSBPL7"	"WWP2"	"COG4"	"CWF19L1"	"ITGB7"	""	"KCNK13"	"MYOZ1"	"GNA13"	"HSPA6"	"EDN1"	"KIF26B"
"COLEC10"	""	"FCER2"	"TGIF1"	"COL8A2"	"SNRNP70"	"PDLIM4"	"ZDHHC18"	"COL5A3"	"CX3CR1"	"ITK"	""	"KIFC3"	"NAGPA"	"GNMT"	"IDE"	"EI24"	"KRT19"
"COQ3"	""	"FGL2"	"THBS1"	"COLEC12"	"SNUPN"	"PJA2"	""	"COLQ"	"CXCR3"	"KIF11"	""	"LAIR1"	"NCAPH"	"GPR162"	"IFT52"	"EIF2B2"	"LAPTM4A"
"COX6A2"	""	"FKBP2"	"THBS4"	"COMMD8"	"SNX5"	"PLA2G6"	""	"COPB1"	"CXCR6"	"KIF14"	""	"LAMP1"	"NCF2"	"GPR183"	"IGF1"	"EIF3K"	"LGALS1"
"CPA2"	""	"FLT3"	"TIPARP"	"COMMD9"	"SOS2"	"PLCG2"	""	"COPS4"	"CYP20A1"	"KIF22"	""	"LAMP3"	"NCKAP1L"	"GRPEL1"	"IGHD"	"EIF4E2"	"LMOD1"
"CPB1"	""	"FPR3"	"TKTL1"	"COQ2"	"SPAG8"	"PPP2CA"	""	"COPS5"	"CYTH4"	"KIF2A"	""	"LILRB1"	"NDUFB1"	"H2AFY"	"IGHM"	"EIF4G1"	"LRRC42"
"CPSF4"	""	"FUT7"	"TNFSF11"	"CORO7"	"STAM"	"PRDM2"	""	"COPS6"	"DAXX"	"KIF2C"	""	"LILRB4"	"NFS1"	"HADHA"	"IGKC"	"EIF4G2"	"LSM6"
"CR1"	""	"FZD2"	"TRIM48"	"COX15"	"STAP1"	"PRDX6"	""	"COPS7B"	"DCTN6"	"KLHL7"	""	"LIMD2"	"NOP10"	"HCK"	"IGLL3P"	"ELK4"	"LTBR"
"CR2"	""	"GFRA2"	"TRPM6"	"COX5A"	"SYPL1"	"PRF1"	""	"COQ6"	"DDX18"	"KLRB1"	""	"LONP1"	"NPL"	"HIC1"	"IMP4"	"ELOVL1"	"LTC4S"
"CRB1"	""	"GMFB"	"ZNF165"	"COX5B"	"TADA2A"	"PRKAG1"	""	"CORO7"	"DDX24"	"KLRG1"	""	"LONRF3"	"NPR1"	"HIF1A"	"IRF4"	"ELTD1"	"MAGEF1"
"CRH"	""	"GNG5"	"ZNF197"	"COX7B"	"TAL1"	"PRX"	""	"COX7C"	"DEFB126"	"LAG3"	""	"MAPK13"	"OS9"	"HIPK1"	"IRGC"	"EMCN"	"MAP4K5"
"CRX"	""	"GPN2"	""	"COX8A"	"TEC"	"PSMD4"	""	"CPSF6"	"DHX15"	"LAIR2"	""	"MARCO"	"OSBPL11"	"HK3"	"ISCU"	"ENOPH1"	"MARS"
"CSHL1"	""	"GPR107"	""	"CPNE6"	"THRAP3"	"PTGDR"	""	"CREBZF"	"DHX16"	"LCP2"	""	"MERTK"	"P2RX7"	"HNRNPU"	"ITGA8"	"ENTPD1"	"MASP1"
"CSN1S1"	""	"GPR132"	""	"CRYBB1"	"TIPRL"	"PTPN4"	""	"CRLF3"	"DHX8"	"LIM2"	""	"MFSD7"	"PABPC4"	"HRH2"	"KCNN3"	"ERCC1"	"MBTPS2"
"CSNK1G3"	""	"GRB2"	""	"CSF1"	"TPSAB1"	"RAB14"	""	"CRY2"	"DIAPH1"	"LTA"	""	"MMP19"	"PDCD1LG2"	"HSPA6"	"KCNQ4"	"ERG"	"MFSD5"
"CSRP3"	""	"GRIN1"	""	"CSF1R"	"TPSB2"	"RBM25"	""	"CSNK1A1"	"DIDO1"	"MELK"	""	"MRPL12"	"PDCD6IP"	"HUS1"	"KDELR2"	"ERH"	"MGMT"
"CTSG"	""	"GRSF1"	""	"CTSK"	"TRIM32"	"RBM39"	""	"CSNK1D"	"DLEC1"	"MFSD5"	""	"MRPL40"	"PDE1B"	"IL10RA"	"KIAA0125"	"ESAM"	"MGST3"
"CUBN"	""	"GSTT1"	""	"CXCL5"	"TTC17"	"RGS9"	""	"CSNK2A2"	"DMWD"	"MKI67"	""	"MRS2"	"PEX19"	"IL17RA"	"KLC2"	"ESM1"	"MIF"
"CXCL13"	""	"GUCA1A"	""	"CXCL9"	"U2AF2"	"RP5-886K2.1"	""	"CTBP1"	"DNAJB1"	"MMP25"	""	"MS4A4A"	"PICK1"	"IMPDH1"	"KLF15"	"EXD2"	"MKRN2"
"CXCR5"	""	"GZMB"	""	"CYBA"	"UPF2"	"RRAD"	""	"CTLA4"	"DNAJC24"	"MNAT1"	""	"MSR1"	"PILRA"	"IQGAP1"	"KNTC1"	"EXOC7"	"MMP17"
"CXorf36"	""	"H6PD"	""	"CYBB"	"USP10"	"RSRC2"	""	"CTSW"	"DPP8"	"MRPS15"	""	"MT2A"	"PLEKHM2"	"IQSEC2"	"KRT10"	"F11R"	"MMP19"
"CYLC2"	""	"HAMP"	""	"CYC1"	"USP48"	"SACM1L"	""	"CUBN"	"DSC1"	"MSH3"	""	"MYBPH"	"POGK"	"JMJD1C"	"LAX1"	"FAM107A"	"MOSPD3"
"CYP2A7"	""	"HAVCR2"	""	"CYFIP1"	"VWA5A"	"SAMD3"	""	"CUL1"	"DUSP11"	"MTDH"	""	"MYH11"	"PQLC2"	"JMJD6"	"LBX1"	"FAM124B"	"MPHOSPH10"
"CYP2C19"	""	"HCK"	""	"CYP19A1"	"WDR46"	"SBF1"	""	"CXCR3"	"DUSP8"	"NCAPD3"	""	"MYO7A"	"RENBP"	"KCNC3"	"LEFTY2"	"FAM65A"	"MPZL1"
"DAXX"	""	"HCRTR2"	""	"CYP27A1"	"ZBTB1"	"SEPT7"	""	"CXCR6"	"DYNC1H1"	"NCDN"	""	"MYOF"	"RIN2"	"KCNMB1"	"LMAN1L"	"FAM96B"	"MRPL12"
"DAZL"	""	"HIST1H2BB"	""	"DAGLA"	"ZBTB7A"	"SERPINB9"	""	"DAB1"	"DYNLT1"	"NCR3"	""	"MYOZ1"	"RNASE6"	"KDM6B"	"LMAN2"	"FBL"	"MTHFD2"
"DCC"	""	"HK3"	""	"DBI"	"ZKSCAN3"	"SF3B4"	""	"DAD1"	"E4F1"	"NEK2"	""	"NARS"	"S100A6"	"KIAA1033"	"LOC100130100"	"FBXO22"	"MYH1"
"DCLRE1C"	""	"HLA-DQA1"	""	"DERA"	"ZMYM1"	"SGMS1"	""	"DAP3"	"EEF1D"	"NFKBIB"	""	"NCAPH"	"SCAMP2"	"KLHL18"	"LTB4R2"	"FDPS"	"MYH2"
"DDX4"	""	"HPD"	""	"DHX57"	"ZMYM4"	"SH2D1B"	""	"DBF4"	"ELK4"	"NKG7"	""	"NDUFAF1"	"SDCBP"	"KSR1"	"MAGEF1"	"FEZ2"	"MYL12B"
"DEF8"	""	"HPS5"	""	"DLAT"	"ZNF212"	"SLC30A5"	""	"DCTN6"	"ELP3"	"NMT1"	""	"NDUFS2"	"SDS"	"LILRA1"	"MANF"	"FLOT2"	"MYOF"
"DEPDC5"	""	"HRH2"	""	"DNAJC13"	"ZNF264"	"SMEK1"	""	"DDX24"	"EMD"	"NUSAP1"	""	"NECAP2"	"SLAMF8"	"LILRA2"	"MAPK8IP3"	"FLT1"	"NDST2"
"DKKL1"	""	"HS3ST2"	""	"DNASE1L3"	"ZNF426"	"SON"	""	"DDX31"	"EML3"	"PBK"	""	"NRBP1"	"SLC15A3"	"LILRA5"	"MARS"	"FLT4"	"NFATC4"
"DLX4"	""	"HS3ST3B1"	""	"DNASE2B"	"ZNF471"	"SPN"	""	"DDX3X"	"ERAL1"	"PDE4A"	""	"OGFR"	"SLC25A24"	"LILRB1"	"MAST1"	"FN3K"	"NFE2L2"
"DNASE1"	""	"HSD11B1"	""	"DOT1L"	"ZNF549"	"SPON2"	""	"DDX5"	"ERN1"	"PDE6D"	""	"OTUD4"	"SLC25A46"	"LILRB2"	"MATN4"	"FNDC8"	"NGRN"
"DNTT"	""	"IDH3A"	""	"ECHS1"	""	"STAG2"	""	"DDX50"	"ESR2"	"PEX2"	""	"P2RX7"	"SLC31A1"	"LILRB3"	"MBTPS1"	"FOXC2"	"NPTN"
"DPEP3"	""	"IDO1"	""	"EFR3A"	""	"STX8"	""	"DDX56"	"EXOC2"	"PFN1"	""	"PDCL"	"SLC38A7"	"LRRFIP1"	"MCTS1"	"FOXD3"	"OCRL"
"DPP6"	""	"IL10"	""	"ELK1"	""	"STYK1"	""	"DENR"	"FAIM3"	"PIAS4"	""	"PHLDB1"	"SLC39A1"	"LST1"	"MGAT2"	"FRMD8"	"P4HB"
"DPYS"	""	"IL10RA"	""	"ELOVL1"	""	"SUPV3L1"	""	"DGCR14"	"FAM134C"	"PLK4"	""	"PILRA"	"SLC6A12"	"LTBR"	"MIA3"	"FRS3"	"PAMR1"
"DSCR4"	""	"IL12B"	""	"EMILIN1"	""	"TBCC"	""	"DHX16"	"FASLG"	"POP4"	""	"PKD2L1"	"SLC6A7"	"LY86"	"MIS12"	"FTSJ3"	"PAPPA2"
"DSP"	""	"IL19"	""	"EMP1"	""	"TBX21"	""	"DIDO1"	"FBXO3"	"PPID"	""	"PLEKHB2"	"SLC9A6"	"LYL1"	"MRPS31"	"FUS"	"PCDHGA11"
"DTNB"	""	"IL21R"	""	"ERP29"	""	"TBXA2R"	""	"DLEC1"	"FBXO31"	"PPP1CA"	""	"PQLC2"	"SMG5"	"MAN2C1"	"MTDH"	"FXR1"	"PDE4A"
"EDF1"	""	"IL2RA"	""	"EXOC1"	""	"TCTN2"	""	"DNAH6"	"FBXW4"	"PRF1"	""	"PRDX1"	"SNAPC2"	"MAP2K1"	"MYH13"	"G6PC3"	"PFDN5"
"EFNA2"	""	"IL3RA"	""	"EXOC5"	""	"THAP1"	""	"DNAI2"	"FKTN"	"PSMA1"	""	"PTGIR"	"SNX1"	"MAP3K11"	"MYL2"	"GABPB1"	"PGK1"
"EGOT"	""	"IL7R"	""	"FAM32A"	""	"TINAGL1"	""	"DNAJA2"	"FLT3LG"	"PSMA3"	""	"PTPRA"	"SNX2"	"MAP3K2"	"MYL7"	"GANAB"	"PIK3R2"
"EPS15"	""	"IL9"	""	"FANCE"	""	"TKTL1"	""	"DNAJB1"	"FLT4"	"PSMB2"	""	"RAB3IL1"	"SNX3"	"MAP3K3"	"MZB1"	"GDF3"	"PODNL1"
"ESPL1"	""	"IMPDH1"	""	"FCER1G"	""	"TMEPAI"	""	"DNMT1"	"FNBP4"	"PSMC4"	""	"RELA"	"SNX5"	"MAPK14"	"NDOR1"	"GDI2"	"POLR2E"
"FAIM3"	""	"INDO"	""	"FCGR3A"	""	"TNFSF11"	""	"DOHH"	"FTO"	"PSMD13"	""	"RNH1"	"SPG21"	"MAPK6"	"NEUROG1"	"GEMIN7"	"POMGNT1"
"FAM65B"	""	"IRF4"	""	"FDX1"	""	"TRDC"	""	"DPEP2"	"FXYD7"	"PSMD14"	""	"RRP1"	"STX18"	"MARCO"	"NGLY1"	"GFOD2"	"PPIB"
"FBRS"	""	"ITGAX"	""	"FEZ2"	""	"TRPV6"	""	"DPM1"	"FYCO1"	"PSMD4"	""	"S100A11"	"STX4"	"MARK3"	"NOS2"	"GIMAP4"	"PRDX4"
"FBXO24"	""	"KCNA5"	""	"FGR"	""	"TSPYL1"	""	"DR1"	"GADD45A"	"PSMD7"	""	"S1PR2"	"TAF10"	"MBOAT7"	"NPAS1"	"GIMAP6"	"PRDX6"
"FCAR"	""	"KCNC3"	""	"FH"	""	"TSTD2"	""	"DSC1"	"GCC1"	"PSTPIP1"	""	"SCAMP2"	"TBC1D9B"	"MED13L"	"NPPA"	"GIPC1"	"PRKG1"
"FCER2"	""	"KCNK10"	""	"FKBP15"	""	"UBE2Q1"	""	"DVL1"	"GDAP2"	"PTP4A2"	""	"SDS"	"TFEC"	"MEFV"	"NPPC"	"GIT1"	"PRKG2"
"FCN2"	""	"KCNK13"	""	"FLT1"	""	"WBP11"	""	"DYNC1H1"	"GGNBP2"	"PTPN4"	""	"SIGLEC1"	"TMED5"	"METTL9"	"NTRK1"	"GJA4"	"PRPH2"
"FCRL2"	""	"KCNMB1"	""	"FN1"	""	"WDR45"	""	"DYNLT1"	"GIMAP4"	"PTPN7"	""	"SIGLEC7"	"TMEM184C"	"MIOS"	"OGFOD2"	"GLRX3"	"PTGIR"
"FGF8"	""	"KCNN1"	""	"FOLR2"	""	"XCL1"	""	"E4F1"	"GIMAP6"	"PTPN9"	""	"SIGLEC9"	"TMEM70"	"MMP17"	"P2RY4"	"GMPR2"	"RAB11FIP2"
"FIP1L1"	""	"KCTD5"	""	"FPR2"	""	"XCL2"	""	"EDC4"	"GIPR"	"PUF60"	""	"SLAMF1"	"TMEM9B"	"MNDA"	"PABPC4"	"GNB1"	"RAB3GAP1"
"FLT3"	""	"KDM6B"	""	"FPR3"	""	"YAF2"	""	"EEF2"	"GJB4"	"PVRIG"	""	"SLAMF8"	"TNFSF14"	"MNT"	"PCDHA5"	"GOLGA3"	"RAD23B"
"FMO1"	""	"KMO"	""	"FTL"	""	"ZBTB1"	""	"EID1"	"GJC2"	"RACGAP1"	""	"SLC11A1"	"TPP1"	"MPHOSPH6"	"PDE6A"	"GOT2"	"RASA2"
"FMO6P"	""	"KYNU"	""	"G6PC3"	""	"ZBTB39"	""	"EIF2B5"	"GNLY"	"RAD21"	""	"SLC1A2"	"TREM2"	"MS4A4A"	"PDIA2"	"GPKOW"	"RASL12"
"FOXM1"	""	"LAIR1"	""	"GABARAP"	""	"ZCCHC11"	""	"EIF3A"	"GOLGA1"	"RAD50"	""	"SLC25A24"	"TSPO"	"MS4A6A"	"PDIA6"	"GPN2"	"RCN2"
"FRS2"	""	"LAMP3"	""	"GGA1"	""	"ZMYND11"	""	"EIF3E"	"GOLGA4"	"RALY"	""	"SLC31A1"	"UBXN6"	"MTF1"	"PHOX2A"	"GPR4"	"RNASEH1"
"FRS3"	""	"LILRA5"	""	"GLB1"	""	"ZNF205"	""	"EIF3G"	"GPKOW"	"RANBP3"	""	"SLC6A12"	"UCP3"	"MTHFR"	"PICK1"	"GSDMD"	"RNF14"
"FSCN2"	""	"LILRB1"	""	"GLRX2"	""	"ZNF264"	""	"EIF3L"	"GPR15"	"RB1"	""	"SNX3"	"UGP2"	"MTMR14"	"PNOC"	"GTF3C5"	"RNF4"
"FSCN3"	""	"LILRB2"	""	"GM2A"	""	"ZNF426"	""	"EIF3M"	"GPR171"	"RBL1"	""	"SPG21"	"UNC50"	"MTMR3"	"POMC"	"GYG1"	"RNF41"
"FSHR"	""	"LILRB4"	""	"GORASP1"	""	"ZNF528"	""	"EIF4G2"	"GPR52"	"RC3H2"	""	"SPR"	"USF2"	"MYO1F"	"POU3F3"	"HADHA"	"RNH1"
"FSTL4"	""	"LILRB5"	""	"GP1BA"	""	"ZNF747"	""	"ELAC2"	"GPR65"	"RGS9"	""	"SRC"	"VPS35"	"NCF2"	"PPIB"	"HCFC1"	"ROM1"
"GABRA4"	""	"LMAN2L"	""	"GPC4"	""	""	""	"EMD"	"GPR68"	"RNF167"	""	"STIP1"	"VPS53"	"NCF4"	"PPIL2"	"HCRTR1"	"RPL23"
"GABRA6"	""	"LOR"	""	"GPD1"	""	""	""	"ERH"	"GRAP2"	"RNF6"	""	"STX12"	"VSIG4"	"NCOA4"	"PRDM14"	"HDAC1"	"RPL37A"
"GAD2"	""	"LRRC36"	""	"GRB2"	""	""	""	"ERN1"	"GSDMD"	"RPA1"	""	"STX4"	"VTI1B"	"NDST2"	"PRDX4"	"HECW2"	"RRAS2"
"GCK"	""	"MAGT1"	""	"GSTO1"	""	""	""	"ESD"	"GTF3C1"	"RRM1"	""	"TBC1D16"	"WDFY3"	"NEK4"	"PREB"	"HERC1"	"RYK"
"GCM1"	""	"MAP2K1"	""	"GUCA1A"	""	""	""	"ESYT1"	"GYG1"	"RRM2"	""	"TCEB1"	"XPNPEP2"	"NKIRAS2"	"PRM1"	"HHIP"	"S1PR2"
"GDF10"	""	"MAP3K13"	""	"GUF1"	""	""	""	"ETAA1"	"GZMA"	"SAC3D1"	""	"TDRD7"	"ZC3H3"	"NPLOC4"	"PRX"	"HOXD3"	"SAR1A"
"GDI2"	""	"MAP3K6"	""	"HADHB"	""	""	""	"EXOC1"	"GZMB"	"SASH3"	""	"TFEC"	"ZCCHC4"	"NSFL1C"	"PTGER1"	"HSP90AB1"	"SCAMP1"
"GGA2"	""	"MAPKAPK2"	""	"HAMP"	""	""	""	"EXOC2"	"GZMH"	"SCAMP2"	""	"TFRC"	"ZNF219"	"NUBP1"	"PTPRS"	"HSP90B1"	"SCRN1"
"GH1"	""	"MCF2"	""	"HAUS2"	""	""	""	"EZH1"	"GZMK"	"SELL"	""	"TIE1"	""	"NUP214"	"R3HCC1"	"HSPA4"	"SEC22A"
"GK2"	""	"MED25"	""	"HCCS"	""	""	""	"FAIM3"	"GZMM"	"SF3B4"	""	"TMEM33"	""	"OGFR"	"RAB3A"	"HSPB11"	"SEC24A"
"GLDC"	""	"MFN1"	""	"HEXA"	""	""	""	"FAM111A"	"HAO2"	"SFXN1"	""	"TMEM70"	""	"OSBPL11"	"RAD17"	"HTATIP2"	"SEC61A1"
"GLYAT"	""	"MGRN1"	""	"HEXB"	""	""	""	"FAM193B"	"HAUS3"	"SH2D1A"	""	"TMX1"	""	"OSM"	"RALY"	"HTR1B"	"SEPT10"
"GMFB"	""	"MIIP"	""	"HIGD2A"	""	""	""	"FAM65B"	"HELZ"	"SHMT2"	""	"TNFAIP6"	""	"P2RY13"	"RASIP1"	"HTR2B"	"SEPT2"
"GMIP"	""	"MMP12"	""	"HK3"	""	""	""	"FARS2"	"HIGD2A"	"SLAMF1"	""	"TNIP3"	""	"PADI4"	"RAX"	"HYAL2"	"SGCD"
"GNAT2"	""	"MMP25"	""	"HMGCL"	""	""	""	"FASTK"	"HIST1H3A"	"SLC25A32"	""	"TPP1"	""	"PANK2"	"RFX2"	"IGF2BP3"	"SGCG"
"GNG3"	""	"MNDA"	""	"HPS1"	""	""	""	"FBXL8"	"HIST1H4F"	"SLC26A4"	""	"TREM2"	""	"PCTP"	"RGS1"	"IL3RA"	"SH3BP2"
"GNG7"	""	"MPHOSPH6"	""	"HS3ST2"	""	""	""	"FBXO11"	"HIVEP3"	"SMC2"	""	"TRIP4"	""	"PDE6H"	"RGS13"	"ILF2"	"SHMT2"
"GNL2"	""	"MS4A4A"	""	"HSD17B12"	""	""	""	"FBXO21"	"HLA-A"	"SOS1"	""	"TSPO"	""	"PGGT1B"	"RNF103"	"INPP5E"	"SHQ1"
"GNRHR"	""	"MS4A6A"	""	"HSPB7"	""	""	""	"FBXO31"	"HLCS"	"SPC25"	""	"UQCR11"	""	"PGLS"	"RNF113A"	"INPP5K"	"SIM1"
"GPR18"	""	"MTF1"	""	"HSPH1"	""	""	""	"FCF1"	"HMGN4"	"SRF"	""	"USP14"	""	"PHKG2"	"RNF208"	"IPO7"	"SIX5"
"GPR25"	""	"MTHFD2"	""	"HTT"	""	""	""	"FCN1"	"HMGXB3"	"STIP1"	""	"UTP3"	""	"PHLDA2"	"RNGTT"	"ITGA9"	"SLC25A32"
"GPR3"	""	"MYBPC1"	""	"HYAL2"	""	""	""	"FKTN"	"HMOX2"	"STX8"	""	"VIM"	""	"PIAS1"	"RPN1"	"ITGB1BP1"	"SLC35A2"
"GPR4"	""	"N4BP1"	""	"IARS2"	""	""	""	"FNBP4"	"HNRNPA0"	"TAB2"	""	"VPS33A"	""	"PIKFYVE"	"RPN2"	"KALRN"	"SLC35A5"
"GPRC5D"	""	"NAGPA"	""	"IBTK"	""	""	""	"FNTA"	"HNRNPL"	"TACC3"	""	"VSIG4"	""	"PILRA"	"SAP30BP"	"KANK3"	"SLC35E1"
"GPX5"	""	"NCF2"	""	"IFNAR1"	""	""	""	"FOXP3"	"HTR1B"	"TAF1B"	""	"WDR11"	""	"PLAA"	"SCFD1"	"KAT5"	"SMAD5"
"GREB1"	""	"NECAP2"	""	"IGSF6"	""	""	""	"FRYL"	"IDH3B"	"TARP"	""	"WSB2"	""	"PLD2"	"SEC24A"	"KCNAB1"	"SNAPC2"
"GRIK3"	""	"NETO2"	""	"IL10"	""	""	""	"FUBP1"	"IFNG"	"TBX21"	""	"WTAP"	""	"PLEK"	"SEC61A1"	"KCTD2"	"SNED1"
"GRIN2B"	""	"NEU3"	""	"IL12B"	""	""	""	"FUBP3"	"IKBKAP"	"TDP1"	""	"ZC3H15"	""	"PLP2"	"SEC61B"	"KDR"	"SNTB2"
"GRM6"	""	"NFE2L2"	""	"IL17RA"	""	""	""	"FXR1"	"IKZF3"	"TINF2"	""	"ZMPSTE24"	""	"PNP"	"SEC61G"	"KEAP1"	"SNX19"
"GTSE1"	""	"NFKB1"	""	"IL7R"	""	""	""	"FXYD7"	"IL10RA"	"TIPRL"	""	""	""	"POU2F2"	"SEC62"	"KIF17"	"SPAG16"
"GUSBP11"	""	"NFKBIB"	""	"IPPK"	""	""	""	"FYCO1"	"IL12RB1"	"TMEM110"	""	""	""	"PPM1A"	"SEC63"	"KIF20A"	"SPATA7"
"GYS2"	""	"NPR1"	""	"ITGAE"	""	""	""	"GABPA"	"IL16"	"TMPO"	""	""	""	"PPM1F"	"SEMA6C"	"KLHL9"	"SPIN1"
"H2AFX"	""	"NR4A3"	""	"ITGAX"	""	""	""	"GALNT8"	"IL18RAP"	"TOP3B"	""	""	""	"PPP1CB"	"SERP1"	"KRT19"	"SPTLC1"
"HAMP"	""	"NRAS"	""	"ITGB1BP1"	""	""	""	"GALR2"	"IL21R"	"TOR1A"	""	""	""	"PRKACA"	"SHANK1"	"LAMP1"	"ST7L"
"HCRTR2"	""	"NSUN3"	""	"ITGB5"	""	""	""	"GATAD2A"	"IL2RB"	"TOR1AIP1"	""	""	""	"PSTPIP1"	"SHBG"	"LGALS1"	"SVEP1"
"HDAC7"	""	"NUDT9"	""	"KAL1"	""	""	""	"GGA3"	"IL7R"	"TPX2"	""	""	""	"PTCH2"	"SIPA1L3"	"LMBR1L"	"TADA2A"
"HECW1"	""	"NUP62"	""	"KCMF1"	""	""	""	"GIMAP4"	"IMP3"	"TRBC1"	""	""	""	"PTEN"	"SIX5"	"LRRC3"	"TAGLN"
"HIST1H2BL"	""	"NXPH3"	""	"KCNJ1"	""	""	""	"GIMAP6"	"INPP4A"	"TRD"	""	""	""	"PTGIR"	"SLC13A2"	"LRRC59"	"TBC1D17"
"HIST1H2BM"	""	"OAS3"	""	"KCNJ5"	""	""	""	"GIN1"	"INPP5E"	"TRDC"	""	""	""	"PTP4A2"	"SLC35B1"	"LRRFIP1"	"TBL2"
"HLA-DOA"	""	"OGFR"	""	"KCNK13"	""	""	""	"GIPC1"	"INTS5"	"TRGV9"	""	""	""	"PTPN18"	"SLC35C2"	"LSG1"	"TBX5"
"HLA-DOB"	""	"OPA3"	""	"KCNMB1"	""	""	""	"GIT1"	"IPCEF1"	"TTK"	""	""	""	"QKI"	"SLC38A10"	"LYL1"	"TCEAL4"
"HLA-DPB1"	""	"OSM"	""	"KCTD5"	""	""	""	"GLG1"	"IRF3"	"UCHL5"	""	""	""	"RAB5A"	"SLC5A2"	"LYPLA1"	"TCF21"
"HLA-DQA1"	""	"P2RX7"	""	"KIAA0196"	""	""	""	"GLOD4"	"ISCA1"	"UEVLD"	""	""	""	"RABGEF1"	"SLC6A13"	"LYPLA2"	"TEX261"
"HLA-DQB2"	""	"P2RY14"	""	"KIFC3"	""	""	""	"GLTSCR2"	"ITGAL"	"USP1"	""	""	""	"RARA"	"SLCO5A1"	"LYVE1"	"TFDP1"
"HNRNPA0"	""	"PAK2"	""	"KLHL12"	""	""	""	"GLUD1"	"ITK"	"VANGL1"	""	""	""	"RBM41"	"SMPD2"	"LYZL6"	"TFG"
"HNRNPL"	""	"PDXK"	""	"LAIR1"	""	""	""	"GMEB2"	"JMJD6"	"WBP11"	""	""	""	"REEP4"	"SNAPC4"	"MAGEB1"	"THAP10"
"HP1BP3"	""	"PGK1"	""	"LAMP1"	""	""	""	"GOLGA4"	"JOSD1"	"ZBTB16"	""	""	""	"RELA"	"SPATS2"	"MAP3K3"	"TM2D1"
